priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
2 - not currently pooled,Wu 2022,Remifentanil dose index,Intraoperative,Intraoperative opioid,1,Mean/SD,44,40,45,45,Perioperative pTEAS,No-current control,Table 2 / remifentanil index,Preserve source units as reported,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Wu 2025,Exact postoperative opioid/MME consumption,0-24 h,Opioid consumption,1,Not calculable,50,50,50,50,PACU TEAS,Sham/no current,Postoperative rescue-analgesia section,Oxycodone/acetaminophen rescue strength is not reported; rescue regimen is mixed opioid/non-opioid,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Wu 2025,Moderate-to-severe pain (VAS >4),Within 12 h,Pain,1,Events/total,50,50,50,50,PACU TEAS,Sham/no current,Moderate-to-severe pain outcome,Very large subjective effect; interpret with incomplete sensory blinding,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Wu 2025,Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,50,50,50,50,PACU TEAS,Sham/no current,Table 1 / remifentanil,No significant intraoperative opioid-sparing effect,EXCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Wu 2025,Sufentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,50,50,50,50,PACU TEAS,Sham/no current,Table 1 / sufentanil,No intraoperative opioid-sparing effect,EXCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xie 2014,Exact cumulative postoperative sufentanil,0-24 h,Opioid consumption,1,Not reported,20,20,20,20,Active EAS PC4/PC6,Sham needling PC4/PC6,Exact 24-h endpoint absent,Directly reported total cannot be assigned to a fixed 24-h window,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xie 2014,Patient-controlled analgesia demand count,Study PCA period,Opioid demand,1,Mean/SD,20,20,20,20,Active EAS PC4/PC6,Sham needling PC4/PC6,Table 2 / patient demand,Demand count should not be converted into delivered sufentanil without confirmation,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xing 2022,Exact cumulative postoperative sufentanil delivered,0-24 h,Opioid consumption,1,Not reported,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,Exact 24-h endpoint absent,PCIA wording is internally contradictory and only press counts are reported,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xing 2022,PCIA pump press count,48-h / 2-day PCIA period,Opioid demand,1,Mean/SD,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,Table 3 / PCIA press count,Press attempts may not equal successful delivered boluses; do not multiply by 1 µg,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xing 2022,PONV incidence,Postoperative,PONV,1,Events/total,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,Postoperative complications,Counts reconstructed from n=29 analyzed per arm,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xing 2022,Rest pain VAS,24 h,Pain,1,Mean/SD,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,24-h pain result,"At 24 h both TAPB groups improved versus G, but incremental NTG-vs-NG difference was not reported significant",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xiong 2021,Any rescue antiemetic medication,Within 48 h,Rescue antiemetic,1,Events/total,31,31,31,31,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Abstract / rescue antiemetic result,Counts reconstructed exactly from group denominator 31,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xiong 2021,Clinically important PONV,Within 48 h,PONV,1,Events/total,31,31,31,31,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Abstract / clinically important PONV,Patient-reported symptom severity; sensory blinding may be imperfect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xiong 2021,Exact cumulative postoperative opioid dose,0-24 h,Opioid consumption,1,Not reported,31,31,31,31,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Exact 24-h endpoint absent,Published opioid-equivalent result lacks a fixed time window,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Xiong 2021,Postoperative opioid consumption,Postoperative window unclear,Opioid consumption,1,Mean/SD,31,31,31,31,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Table 1 / postoperative opioid consumption,Exact postoperative interval is not stated; route terminology in Results is internally inconsistent,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension incidence,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,The article reports AD as a postoperative outcome but Table 3 does not attach a distinct clock time to this summary.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension severity grade 0,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension severity grade 1,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension severity grade 2,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension severity grade 3,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Abdominal distension severity grade 4,Postoperative; assessment window not separately stated,GI adverse effect,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Dynamic pain VAS,0–24 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Dynamic pain VAS,24–48 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Dynamic pain VAS,48–72 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Hospital stay,Postoperative hospitalization,Length of stay,1,Mean/SD,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea incidence,0–24 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea incidence,24–48 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea incidence,48–72 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea severity score,0–24 h after surgery,PONV,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea severity score,24–48 h after surgery,PONV,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Nausea severity score,48–72 h after surgery,PONV,1,Other (describe),29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Participants given rescue medication,Postoperative; exact window not stated,Rescue analgesia,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-5; Table 3,Methods define rescue medication as bucinnazine 100 mg IM if VAS >3/10; Table 3 does not state a time window.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Static pain VAS,0–24 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Static pain VAS,24–48 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Static pain VAS,48–72 h after surgery,Pain,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Time to out-of-bed activity,Postoperative,Functional recovery,1,Mean/SD,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting incidence,0–24 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting incidence,24–48 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting incidence,48–72 h after surgery,PONV,1,Events/total,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting severity score,0–24 h after surgery,PONV,1,Median/IQR,29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting severity score,24–48 h after surgery,PONV,1,Other (describe),29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2020,Vomiting severity score,48–72 h after surgery,PONV,1,Other (describe),29.0,28.0,30.0,29.0,EA group,UC group,e920648-6; Table 4,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yang 2024,Postoperative vomiting,Within 72 h,PONV,1,Events/total,90,90,90,90,Perioperative EA + usual care,Usual care,Secondary outcomes / PONV,No sham acupuncture; patient knowledge could affect subjective nausea but vomiting is more objective,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yao 2015,Cumulative number of rescue analgesia administrations,0-24 h postoperative,Rescue opioid use,1,Median/IQR,35,36,35,36,Preoperative TEAS,Control/no current,Table 3 (Cumulative number of rescue analgesia),"Rescue was IV sufentanil 0.05 ug/kg per administration. Do NOT multiply the median count by 0.05 ug/kg and a mean body weight to manufacture cumulative MME: the product of a median count and a mean weight is not the median or mean of the individual-level product, and no patient-level data are available.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yao 2015,Postoperative nausea,0-24 h postoperative,PONV,1,Events/total,35,36,35,36,Preoperative TEAS,Control/no current,Table 3 (Nausea),Reported as 17 (48.6%) vs 26 (72.2%); denominators confirmed from Table 3 headers.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yao 2015,Postoperative vomiting,0-24 h postoperative,PONV,1,Events/total,35,36,35,36,Preoperative TEAS,Control/no current,Table 3 (Vomiting),Source-extracted during verification of the supplementary nausea row; the supplement did not list it. Reported as 7 (20.0%) vs 19 (52.8%).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yao 2015,Time to first rescue analgesia,0-24 h postoperative,Rescue analgesia,1,Median/range,35,36,35,36,Preoperative TEAS,Control/no current,Table 3 (Time to first rescue analgesia),"The intervention arm's upper bound of 1440 min is the full 24-h observation window, i.e. censoring at end of follow-up. Treating this as an IQR bound would be wrong; it is a range. Not pooled as a mean difference.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Any nausea and/or vomiting,0–24 h,PONV,1,Events/total,30.0,30.0,30.0,30.0,Preoperative TEAS,Control/no current (electrodes applied),"Trials 2020;21:43, pp.5–7; Table 3 + Results",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Global QoR-40,Postoperative day 2 (~48 h),Quality of recovery,1,Mean/SD,30.0,30.0,30.0,30.0,Preoperative TEAS,Control/no current (electrodes applied),"Trials 2020;21:43, abstract / Fig.4; Abstract + Figure 4",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,MMSE score,Postoperative day 1 (~24 h),Cognitive recovery,1,Mean/SD,30.0,30.0,30.0,30.0,Preoperative TEAS,Control/no current (electrodes applied),"Trials 2020;21:43, abstract / Figure 5; Abstract + Figure 5",The Results prose oddly states scores were 'significantly lower in the TEAS group' although the printed TEAS means are higher; numerical values are preserved.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,MMSE score,Postoperative day 2 (~48 h),Cognitive recovery,1,Mean/SD,30.0,30.0,30.0,30.0,Preoperative TEAS,Control/no current (electrodes applied),"Trials 2020;21:43, abstract / Figure 5; Abstract + Figure 5",The Results prose oddly states scores were 'significantly lower in the TEAS group' although the printed TEAS means are higher; numerical values are preserved.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Participants requiring rescue sufentanil,0-24 h postoperative,Rescue opioid use,1,Events/total,30,30,30,30,Preoperative TEAS,Control/no current (electrodes applied),Table 3 (Cases of remedial analgesia),"Binary incidence of rescue analgesia, NOT cumulative opioid dose. Rescue dose/number of administrations not reported, so no MME is derivable.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Participants requiring tropisetron rescue,0–24 h,Rescue antiemetic,1,Events/total,30.0,30.0,30.0,30.0,Preoperative TEAS,Control/no current (electrodes applied),"Trials 2020;21:43, pp.5–7; Table 3 + Results",The Results text specifies tropisetron as the rescue antiemetic.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Resting pain VAS,POD1 (~24 h),Pain,1,Mean/SD,30,30,30,30,Preoperative TEAS,Control/no current (electrodes applied),Table 2 (VAS scores); abstract Results,"SOURCE CONFLICT: Table 2 reports TEAS 3.70 (1.53); the abstract reports 3.70 +/- 1.41 for the same result. Table 2's TEAS SD is also identical to the control SD (1.53), which is itself suspicious. Table 2 value recorded here as the primary transcription because a table outranks an abstract; the conflict is unresolved and this row must NOT be pooled. Author contact required. | V34: Yu Table 2 TEAS SDs POD1/POD2 = 1.53/0.98; abstract = 1.41/0.88. POD2 prose P=0.26, table *P<0.05, abstract significant. Table values retained; pain quantitative HOLD.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Yu 2020,Resting pain VAS,POD2 (~48 h),Pain,1,Mean/SD,30,30,30,30,Preoperative TEAS,Control/no current (electrodes applied),Table 2; Results 'Pain assessment'; abstract,"TWO SOURCE CONFLICTS. (1) SD: Table 2 gives TEAS 1.83 (0.98); the abstract gives 1.83 +/- 0.88. (2) P value: the Results text states 'P = 0.042 and P = 0.26 for T1 and T2 respectively', i.e. POD2 non-significant, while Table 2 stars this result as P < 0.05 and the abstract claims P < 0.05 for both timepoints. Unresolved; do not pool. Author contact required. | V34: Yu Table 2 TEAS SDs POD1/POD2 = 1.53/0.98; abstract = 1.41/0.88. POD2 prose P=0.26, table *P<0.05, abstract significant. Table values retained; pain quantitative HOLD.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhan 2020,Actual cumulative postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,30,30,30,30,TAP block + postoperative TEAS,TAP block,PCIA protocol / exact 24-h opioid section,Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2014,Exact cumulative postoperative opioid dose,0-24 h,Opioid consumption,1,Not reported,33,32,33,32,Preoperative TEAS,Sham/no current,Postoperative analgesic section,Study reports intraoperative remifentanil rate but no exact postoperative opioid-consumption total,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2014,Postoperative nausea,Postoperative,PONV,1,Events/total,33,32,33,32,Preoperative TEAS,Sham/no current,Table 3 / postoperative side effects,No exact narrower time window reported in the extraction,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2014,Postoperative vomiting,Postoperative,PONV,1,Events/total,33,32,33,32,Preoperative TEAS,Sham/no current,Table 3 / postoperative side effects,No exact narrower time window reported in the extraction,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2014,Remifentanil consumption rate,Intraoperative,Intraoperative opioid,1,Mean/SD,33,32,33,32,Preoperative TEAS,Sham/no current,Table 2 / intraoperative remifentanil,"Weight/time-normalized consumption, not absolute remifentanil dose",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Exact cumulative postoperative opioid consumption,0–24 h,Postoperative opioid consumption,1,Not reported,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Methods/results,The article does not report postoperative opioid consumption/dose or a quantitative rescue-opioid endpoint.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Postoperative hospital length of stay,Postoperative,Functional recovery,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2b / Results,Exact group mean±SE values are shown only in Figure 2b; source text reports a 30.2% reduction. Adjusted regression coefficient for TEA was −6.3 days (95% CI −12.0 to −0.6).,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Prolonged postoperative ileus / time to first defecation >96 h,Postoperative,GI recovery,1,Events/total,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Results text / Table 2,"Text reports 0/21 TEA vs 5/21 sham, but Table 2 lists 33 non-endpoint + 11 endpoint patients (44 total) despite 42 randomized. Preserve raw text counts but hold quantitative use.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Time to ambulation,Postoperative,Functional recovery,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2b / Results,Exact group mean±SE values are shown only in Figure 2b; source text reports a 42.8% reduction.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Time to first flatus,Postoperative,GI recovery,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2a / Results,Exact group mean±SE values are shown only in Figure 2a; do not visually infer. Source text reports a 35.9% reduction.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,Time to resume diet,Postoperative,GI recovery,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2b / Results,Exact group mean±SE values are shown only in Figure 2b; do not visually infer. Source text reports a 26.5% reduction.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,VAS pain score,Postoperative day 1,Pain,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2c / Results,Figure 2c shows POD1 means±SE but exact values are not tabulated. The Results text highlights significant reductions only on POD2 and POD3.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,VAS pain score,Postoperative day 2,Pain,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2c / Results,Exact group mean±SE values are shown only in Figure 2c; source text reports a 50.8% reduction.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2018,VAS pain score,Postoperative day 3,Pain,1,Graph-only mean±SE,21,21,21,21,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Figure 2c / Results,Exact group mean±SE values are shown only in Figure 2c; source text reports a 64.9% reduction.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2023,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,Urinary recovery,1,Events/total,922,916,975,973,TEAS,Sham/no current,Table 2 / delayed urinary recovery,"Use analyzed denominators 922 and 916, not randomized denominators",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2023,Exact cumulative postoperative opioid dose,0-24 h,Opioid consumption,1,Not reported,922,916,975,973,TEAS,Sham/no current,Exact 24-h endpoint absent,Only a postoperative 48-h opioid-equivalent endpoint is reported,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2023,Postoperative IV morphine-equivalent consumption,Within 48 h,Opioid consumption,1,Median/IQR,922,916,975,973,TEAS,Sham/no current,Table 1 / postoperative opioid-equivalent result,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2023,Postoperative urinary retention,Postoperative,Urinary recovery,1,Events/total,922,916,975,973,TEAS,Sham/no current,Table 2 / POUR result,Use analyzed denominators 922 and 916,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2025,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,Rescue analgesia,1,Events/total,45,48,54,54,Perioperative TEAS,Sub-sensory sham,"Table 4, p9",Published RR 0.70 (0.44-1.10) conflicts with raw counts (~0.52) and significant P-value; use raw event counts,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zhang 2025,Moderate-to-severe visceral pain,POD1,Pain,1,Events/total,45,48,54,54,Perioperative TEAS,Sub-sensory sham,"Figure 3D, p8",Figure 3D reports 8.9% vs 37.5%; 4/45 and 18/48 are exact denominator reconstructions,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zheng 2025,Dizziness and headache,Postoperative,Adverse events,1,Events/total,42.0,43.0,44.0,44.0,Perioperative TEAS,Sham/no current,Journal of Pain Research 2025;18:6458; Table 3 continued,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zheng 2025,Drowsiness,Postoperative,Adverse events,1,Events/total,42.0,43.0,44.0,44.0,Perioperative TEAS,Sham/no current,Journal of Pain Research 2025;18:6458; Table 3 continued,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zheng 2025,Effective PCIA button presses,Postoperative; exact pump duration not stated,Opioid demand,1,Mean/SD,42.0,43.0,44.0,44.0,Perioperative TEAS,Sham/no current,Journal of Pain Research 2025;18:6458; Table 3 continued,"PCIA presses are a proxy for demand, not a measured sufentanil mass.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zheng 2025,Emergency rescue analgesia events,Postoperative; exact window not stated,Rescue analgesia,1,Other (describe),42.0,43.0,44.0,44.0,Perioperative TEAS,Sham/no current,Journal of Pain Research 2025;18:6455; Results prose,The accessed Table 3 does not print the numeric rescue-analgesia counts. Record as NOT REPORTED rather than zero.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Zheng 2025,Exact cumulative postoperative sufentanil mass,0-24 h,Opioid consumption,1,Not reported,42,43,44,44,Perioperative TEAS,Sham/no current,PCIA formulation section / missing outcome,Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
