Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Liu 2015,LIU15_TEAS_vs_SHAM_SUFINTRA,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Intraoperative opioid,Total intraoperative sufentanil consumption,Intraoperative,Mean/SD,46,46,44,44,95.6,21.76,,,,,117.7,37.95,,,,,µg sufentanil,0.02,Yes,No,MD,-22.1,No,No,Eligible for intraoperative opioid-sparing analysis,No,Four post-randomization exclusions (2/group) met prespecified withdrawal criteria; total-dose outcome is objective but exclusions may affect the estimand.,Table 2 / intraoperative anesthetics consumption,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,Some concerns,,,Intraoperative sufentanil 95.6±21.76 vs 117.7±37.95 µg; P=0.02.
Liu 2015,LIU15_TEAS_vs_SHAM_PROPINTRA,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Intraoperative anesthetic,Total intraoperative propofol consumption,Intraoperative,Mean/SD,46,46,44,44,216.3,67.72,,,,,234.1,71.3,,,,,mg propofol,0.245,Yes,No,MD,-17.8,No,No,Eligible for secondary intraoperative anesthetic requirement analysis,No,Objective total propofol dose; four post-randomization exclusions (2/group).,Table 2 / intraoperative anesthetics consumption,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Intraoperative propofol 216.3±67.72 vs 234.1±71.30 mg; P=0.245.
Liu 2015,LIU15_TEAS_vs_SHAM_RESP,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Time to spontaneous respiration after anesthesia,Immediate postoperative recovery,Mean/SD,46,46,44,44,16,9.99,,,,,23.4,14.13,,,,,minutes,0.005,Yes,No,MD,-7.4,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Time to spontaneous respiration after anesthesia: 16.0±9.99 vs 23.4±14.13 minutes; P=0.005.
Liu 2015,LIU15_TEAS_vs_SHAM_EXTUB,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Extubation time,Immediate postoperative recovery,Mean/SD,46,46,44,44,26.6,14.17,,,,,33.7,17.4,,,,,minutes,0.036,Yes,No,MD,-7.1,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Extubation time: 26.6±14.17 vs 33.7±17.4 minutes; P=0.036.
Liu 2015,LIU15_TEAS_vs_SHAM_EYEOPEN,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Eye-opening time,Immediate postoperative recovery,Mean/SD,46,46,44,44,22.2,12.04,,,,,28.2,17.74,,,,,minutes,0.066,Yes,No,MD,-6,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Eye-opening time: 22.2±12.04 vs 28.2±17.74 minutes; P=0.066.
Liu 2015,LIU15_TEAS_vs_SHAM_MOVE,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Time to spontaneous movement,Immediate postoperative recovery,Mean/SD,46,46,44,44,27.5,13.79,,,,,34.3,22.59,,,,,minutes,0.092,Yes,No,MD,-6.8,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Time to spontaneous movement: 27.5±13.79 vs 34.3±22.59 minutes; P=0.092.
Liu 2015,LIU15_TEAS_vs_SHAM_REORIENT,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Time to reorientation,Immediate postoperative recovery,Mean/SD,46,46,44,44,35.3,16.11,,,,,42.7,19.8,,,,,minutes,0.076,Yes,No,MD,-7.4,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Time to reorientation: 35.3±16.11 vs 42.7±19.8 minutes; P=0.076.
Liu 2015,LIU15_TEAS_vs_SHAM_ORDISCH,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Recovery,Time to discharge from operating room,Immediate postoperative recovery,Mean/SD,46,46,44,44,39.8,15.74,,,,,48.7,16.7,,,,,minutes,0.013,Yes,No,MD,-8.9,No,No,Eligible for postoperative recovery analysis,No,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,Table 2 / clinical recovery from anesthesia,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,,Time to discharge from operating room: 39.8±15.74 vs 48.7±16.7 minutes; P=0.013.
Liu 2015,LIU15_TEAS_vs_SHAM_PAINPOD1,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Pain,Postoperative VAS pain score,Postoperative day 1,Graph-only continuous data,46,46,44,44,,,,,,,,,,,,,VAS 0-10,<0.001; TEAS lower than sham,No,No,,,No,No,Not ready for continuous pain meta-analysis without formal graph digitization or author data,No,Exact Postoperative day 1 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,Figure 2 / Postoperative day 1,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,Graph-only POD pain; formal digitization/author data required before quantitative pooling.,POD1 VAS lower with TEAS; P<0.001; exact mean/SD graph-only.
Liu 2015,LIU15_TEAS_vs_SHAM_PAINPOD2,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Pain,Postoperative VAS pain score,Postoperative day 2,Graph-only continuous data,46,46,44,44,,,,,,,,,,,,,VAS 0-10,NS; exact P not reported,No,No,,,No,No,Not ready for continuous pain meta-analysis without formal graph digitization or author data,No,Exact Postoperative day 2 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,Figure 2 / Postoperative day 2,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,Graph-only POD pain; formal digitization/author data required before quantitative pooling.,POD2 VAS graph-only; no significant difference reported.
Liu 2015,LIU15_TEAS_vs_SHAM_PAINPOD3,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Pain,Postoperative VAS pain score,Postoperative day 3,Graph-only continuous data,46,46,44,44,,,,,,,,,,,,,VAS 0-10,<0.001; TEAS higher than sham,No,No,,,No,No,Not ready for continuous pain meta-analysis without formal graph digitization or author data,No,Exact Postoperative day 3 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,Figure 2 / Postoperative day 3,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,Graph-only POD pain; formal digitization/author data required before quantitative pooling.,POD3 VAS higher with TEAS; P<0.001; exact mean/SD graph-only.
Liu 2015,LIU15_TEAS_vs_SHAM_NAUSEAPOD1,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative nausea incidence,Postoperative day 1,Events/total,46,46,44,44,,,,,,11,,,,,,9,participants with nausea,NS overall; exact day-specific pairwise P not reported,Yes,No,RR,1.222222222222222,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 1,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative nausea incidence Postoperative day 1: 11/44 vs 9/44.
Liu 2015,LIU15_TEAS_vs_SHAM_NAUSEAPOD2,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative nausea incidence,Postoperative day 2,Events/total,46,46,44,44,,,,,,2,,,,,,5,participants with nausea,NS overall; exact day-specific pairwise P not reported,Yes,No,RR,0.4,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 2,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative nausea incidence Postoperative day 2: 2/44 vs 5/44.
Liu 2015,LIU15_TEAS_vs_SHAM_NAUSEAPOD3,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative nausea incidence,Postoperative day 3,Events/total,46,46,44,44,,,,,,2,,,,,,2,participants with nausea,NS overall; exact day-specific pairwise P not reported,Yes,No,RR,1,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 3,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative nausea incidence Postoperative day 3: 2/44 vs 2/44.
Liu 2015,LIU15_TEAS_vs_SHAM_VOMITPOD1,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative vomiting incidence,Postoperative day 1,Events/total,46,46,44,44,,,,,,9,,,,,,8,participants with vomiting,NS overall; exact day-specific pairwise P not reported,Yes,No,RR,1.125,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 1,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative vomiting incidence Postoperative day 1: 9/44 vs 8/44.
Liu 2015,LIU15_TEAS_vs_SHAM_VOMITPOD2,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative vomiting incidence,Postoperative day 2,Events/total,46,46,44,44,,,,,,2,,,,,,4,participants with vomiting,NS overall; exact day-specific pairwise P not reported,Yes,No,RR,0.5,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 2,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative vomiting incidence Postoperative day 2: 2/44 vs 4/44.
Liu 2015,LIU15_TEAS_vs_SHAM_VOMITPOD3,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,PONV,Postoperative vomiting incidence,Postoperative day 3,Events/total,46,46,44,44,,,,,,1,,,,,,0,participants with vomiting,NS overall; exact day-specific pairwise P not reported,Yes,No,,,No,No,Eligible only for postoperative day-labelled PONV analysis; do not relabel POD1/2/3 as exact 24/48/72-h windows,No,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,Table 3 / Postoperative day 3,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,SOURCE-VERIFIED / POD-WINDOW QC,,,,SOURCE_DIRECT_V28_LIU2015,0,0,,,POD-labelled PONV outcome; do not relabel as exact 24/48/72-h window.,Postoperative vomiting incidence Postoperative day 3: 1/44 vs 0/44.
Oztas 2019,OZT19_TAES_vs_CTRL_TRAM24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Opioid consumption,Cumulative IV PCA tramadol HCl consumption,0-24 h,Mean/SD,16,16,15,16,228.4,87.89,,,,,357.81,123.7,,,,,mg tramadol,3-group P=.001; TAES vs control P<.05 per text,Yes,No,MD,-129.41,Yes,Conditional,Eligible for drug-specific 0-24 h tramadol analysis; conditional for complete total-opioid synthesis,Three-arm RCT; do not count TAES-vs-control and TAES-vs-TENS as independent studies,Separate rescue IM pethidine was also used and reported; combined all-opioid mean/SD cannot be derived without covariance/raw data. One TAES patient excluded post-randomization.,Table 4 / Tramadol HCl (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / CO-OPIOID RESCUE + ATTRITION QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,High,,"Conditional: direct 0–24 h tramadol exists, but complete total-opioid exposure also includes rescue pethidine; active TENS contrast is secondary.",228.4±87.89 vs 357.81±123.7 mg tramadol; 3-group P=.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_TRAM24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Opioid consumption,Cumulative IV PCA tramadol HCl consumption,0-24 h,Mean/SD,16,16,15,16,228.4,87.89,,,,,257.68,65.55,,,,,mg tramadol,TAES vs TENS P>0.05 per text; 3-group P=.001,Yes,No,MD,-29.28,Yes,No,Active electrical-comparator analysis only,Three-arm RCT; active electrical comparator; correlated with TAES-vs-control contrast,Separate rescue pethidine also used; active comparator must not be relabeled as sham/usual care. One TAES patient excluded post-randomization.,Table 4 / Tramadol HCl (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + ATTRITION QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,Active electrical-comparator contrast only.,228.4±87.89 vs 257.68±65.55 mg tramadol; TAES vs TENS P>0.05 per text; 3-group P=.001
Oztas 2019,OZT19_TAES_vs_CTRL_TRAM48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Opioid consumption,Cumulative IV PCA tramadol HCl consumption,24-48 h,Mean/SD,16,16,15,16,164.46,61.31,,,,,265.65,96.71,,,,,mg tramadol,3-group P=.003; TAES vs control P<.05 per text,Yes,No,MD,-101.19,No,No,Eligible for separate 24-48 h opioid analysis,Three-arm RCT; do not double-count study across contrasts,Separate rescue pethidine was also used; not a 0-24 h endpoint.,Table 4 / Tramadol HCl (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / 24-48H WINDOW,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,164.46±61.31 vs 265.65±96.71 mg tramadol; 3-group P=.003; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_TRAM48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Opioid consumption,Cumulative IV PCA tramadol HCl consumption,24-48 h,Mean/SD,16,16,15,16,164.46,61.31,,,,,195.5,71.74,,,,,mg tramadol,TAES vs TENS P>0.05 per text; 3-group P=.003,Yes,No,MD,-31.04,No,No,Active electrical-comparator analysis only; 24-48 h,Three-arm RCT; active electrical comparator,Separate rescue pethidine was also used; not a 0-24 h endpoint.,Table 4 / Tramadol HCl (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + 24-48H,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,164.46±61.31 vs 195.5±71.74 mg tramadol; TAES vs TENS P>0.05 per text; 3-group P=.003
Oztas 2019,OZT19_TAES_vs_CTRL_PETH24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Rescue opioid use,Rescue IM pethidine HCl consumption,0-24 h,Mean/SD,16,16,15,16,20.66,27.89,,,,,33.12,42.69,,,,,mg pethidine,3-group P=.785,Yes,No,MD,-12.459999999999997,Yes,No,Eligible for separate rescue-opioid dose analysis,Three-arm RCT; do not double-count study across contrasts,Rescue opioid reported separately from PCA tramadol; do not sum aggregate SDs without covariance/raw data.,Table 4 / Pethidine HCl (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / RESCUE OPIOID,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,20.66±27.89 vs 33.12±42.69 mg pethidine; 3-group P=.785
Oztas 2019,OZT19_TAES_vs_TENS_PETH24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Rescue opioid use,Rescue IM pethidine HCl consumption,0-24 h,Mean/SD,16,16,15,16,20.66,27.89,,,,,33.75,56.55,,,,,mg pethidine,3-group P=.785,Yes,No,MD,-13.09,Yes,No,Active electrical-comparator rescue-opioid analysis,Three-arm RCT; active electrical comparator,Rescue opioid reported separately from PCA tramadol; active comparator must remain separate.,Table 4 / Pethidine HCl (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + RESCUE OPIOID,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,20.66±27.89 vs 33.75±56.55 mg pethidine; 3-group P=.785
Oztas 2019,OZT19_TAES_vs_CTRL_PETH48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Rescue opioid use,Rescue IM pethidine HCl consumption,24-48 h,Mean/SD,16,16,15,16,10,20.7,,,,,6.25,17.07,,,,,mg pethidine,3-group P=.847,Yes,No,MD,3.75,No,No,Eligible for separate rescue-opioid dose analysis,Three-arm RCT; do not double-count study across contrasts,Rescue opioid reported separately from PCA tramadol; do not sum aggregate SDs without covariance/raw data.,Table 4 / Pethidine HCl (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / RESCUE OPIOID,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,10.0±20.7 vs 6.25±17.07 mg pethidine; 3-group P=.847
Oztas 2019,OZT19_TAES_vs_TENS_PETH48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Rescue opioid use,Rescue IM pethidine HCl consumption,24-48 h,Mean/SD,16,16,15,16,10,20.7,,,,,6.31,17.05,,,,,mg pethidine,3-group P=.847,Yes,No,MD,3.6900000000000004,No,No,Active electrical-comparator rescue-opioid analysis,Three-arm RCT; active electrical comparator,Rescue opioid reported separately from PCA tramadol; active comparator must remain separate.,Table 4 / Pethidine HCl (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + RESCUE OPIOID,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,10.0±20.7 vs 6.31±17.05 mg pethidine; 3-group P=.847
Oztas 2019,OZT19_TAES_vs_CTRL_DEX24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Rescue analgesia,Rescue IV dexketoprofen trometamol consumption,0-24 h,Mean/SD,16,16,15,16,53.33,35.18,,,,,71.87,40.69,,,,,mg dexketoprofen,3-group P=.220,Yes,No,MD,-18.540000000000006,No,No,Eligible for separate non-opioid rescue-analgesic analysis,Three-arm RCT; do not double-count study across contrasts,Non-opioid rescue analgesic; never relabel as opioid consumption.,Table 4 / Dexketoprofen trometamol (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / NONOPIOID RESCUE,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,53.33±35.18 vs 71.87±40.69 mg dexketoprofen; 3-group P=.220
Oztas 2019,OZT19_TAES_vs_TENS_DEX24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Rescue analgesia,Rescue IV dexketoprofen trometamol consumption,0-24 h,Mean/SD,16,16,15,16,53.33,35.18,,,,,46.87,46.43,,,,,mg dexketoprofen,3-group P=.220,Yes,No,MD,6.460000000000001,No,No,Active electrical-comparator non-opioid rescue analysis,Three-arm RCT; active electrical comparator,Non-opioid rescue analgesic; active comparator must remain separate.,Table 4 / Dexketoprofen trometamol (0–24 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + NONOPIOID RESCUE,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,53.33±35.18 vs 46.87±46.43 mg dexketoprofen; 3-group P=.220
Oztas 2019,OZT19_TAES_vs_CTRL_DEX48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Rescue analgesia,Rescue IV dexketoprofen trometamol consumption,24-48 h,Mean/SD,16,16,15,16,33.33,40.82,,,,,53.12,59.07,,,,,mg dexketoprofen,3-group P=.598,Yes,No,MD,-19.79,No,No,Eligible for separate non-opioid rescue-analgesic analysis,Three-arm RCT; do not double-count study across contrasts,Non-opioid rescue analgesic; never relabel as opioid consumption.,Table 4 / Dexketoprofen trometamol (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / NONOPIOID RESCUE,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,33.33±40.82 vs 53.12±59.07 mg dexketoprofen; 3-group P=.598
Oztas 2019,OZT19_TAES_vs_TENS_DEX48,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Rescue analgesia,Rescue IV dexketoprofen trometamol consumption,24-48 h,Mean/SD,16,16,15,16,33.33,40.82,,,,,31.25,35.93,,,,,mg dexketoprofen,3-group P=.598,Yes,No,MD,2.0799999999999983,No,No,Active electrical-comparator non-opioid rescue analysis,Three-arm RCT; active electrical comparator,Non-opioid rescue analgesic; active comparator must remain separate.,Table 4 / Dexketoprofen trometamol (24–48 h),https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + NONOPIOID RESCUE,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,33.33±40.82 vs 31.25±35.93 mg dexketoprofen; 3-group P=.598
