Study ID,Reviewer,Domain 1: Bias arising from the randomization process,"","",Domain 2: Bias due to deviations from intended interventions,"","",Domain 3: Bias due to missing outcome data for All outcomes,"","",Domain 4: Bias in measurement of the outcome for All outcomes,"","",Domain 5: Bias in selection of the reported result for All outcomes,"","",Overall risk of bias for All outcomes,"",""
Zhang 2014,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Zhang 2014,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Low risk,"",Prospective protocol registration: Y; Outcome selection: N.,Low risk,"",Overall Cochrane RoB 2 summary judgment: Low risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y.
Zhang 2014,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Ntritsou 2014,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Ntritsou 2014,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Low risk,"",Prospective protocol registration: Y; Outcome selection: N.,Low risk,"",Overall Cochrane RoB 2 summary judgment: Low risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y.
Ntritsou 2014,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Ng 2012,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Ng 2012,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Low risk,"",Prospective protocol registration: Y; Outcome selection: N.,Low risk,"",Overall Cochrane RoB 2 summary judgment: Low risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y.
Ng 2012,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Lee 2011,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Lee 2011,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Lee 2011,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Coura 2011,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Coura 2011,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Coura 2011,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Yeh 2010,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Yeh 2010,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Yeh 2010,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Yeh 2010,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Yeh 2010,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Yeh 2010,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Colak 2010,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Colak 2010,Consensus,"","","","","","","","","","","","","","","","","",""
El-Rakshy 2009,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
El-Rakshy 2009,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
El-Rakshy 2009,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Wong 2006,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Wong 2006,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
Wong 2006,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Lin 2002,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Lin 2002,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: NI.
