id	study	contrast	family	outcome	time	type	ni	nc	mi	sdi	mc	sdc	ei	ec	unit	eligibility	QC
AUDIT-0156	Gu 2019	V34_B2_006	PONV	Any postoperative nausea and/or vomiting (PONV)	Postoperative follow-up; exact window not stated	Events/total	58.0	59.0					7.0	19.0	participants	HOLD	Results text reports 12% vs 32.2%; these match 7/58 and 19/59. The exact observation window is not stated, although discussion says most PONV occurred within 24 h.
AUDIT-0157	Gu 2019	V34_B2_007	Patient satisfaction	Very satisfied	36 h postoperatively	Events/total	58.0	59.0					32.0	9.0	participants	INCLUDE	Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without ad
AUDIT-0158	Gu 2019	V34_B2_008	Patient satisfaction	Satisfied	36 h postoperatively	Events/total	58.0	59.0					19.0	32.0	participants	INCLUDE	Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without ad
AUDIT-0159	Gu 2019	V34_B2_009	Patient satisfaction	Moderately satisfied	36 h postoperatively	Events/total	58.0	59.0					7.0	16.0	participants	INCLUDE	Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without ad
AUDIT-0160	Gu 2019	V34_B2_010	Patient satisfaction	Not satisfied	36 h postoperatively	Events/total	58.0	59.0					0.0	2.0	participants	INCLUDE	Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without ad
AUDIT-0161	Huang 2025	V34_B2_011	Pain	VAS pain score	24 h	Median/range	43.0	45.0							VAS 0-10	NARRATIVE ONLY	Table explicitly labels dispersion as min-max, not IQR.
AUDIT-0162	Huang 2025	V34_B2_012	Pain	VAS pain score	48 h	Median/range	43.0	45.0							VAS 0-10	NARRATIVE ONLY	Table explicitly labels dispersion as min-max, not IQR.
AUDIT-0163	Huang 2025	V34_B2_013	Pain	VAS pain score	72 h	Median/range	43.0	45.0							VAS 0-10	NARRATIVE ONLY	Table explicitly labels dispersion as min-max, not IQR.
AUDIT-0164	Huang 2025	V34_B2_014	GI recovery	I-FEED score	24 h	Median/range	43.0	45.0							I-FEED score	NARRATIVE ONLY	Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.
AUDIT-0165	Huang 2025	V34_B2_015	GI recovery	I-FEED score	48 h	Median/range	43.0	45.0							I-FEED score	NARRATIVE ONLY	Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.
AUDIT-0166	Huang 2025	V34_B2_016	GI recovery	I-FEED score	72 h	Median/range	43.0	45.0							I-FEED score	NARRATIVE ONLY	Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.
AUDIT-0167	Huang 2025	V34_B2_017	Quality of recovery	QoR-40 total score	Day of discharge	Median/range	43.0	45.0							QoR-40 points	NARRATIVE ONLY	Table shows a higher EA score; Results prose incorrectly says QoR-40 scores were 'lower' in EA. Higher QoR-40 indicates better recovery.
AUDIT-0168	Huang 2025	V34_B2_018	Length of stay	Hospital length of stay	Postoperative hospitalization	Mean/SD	43.0	45.0	6.1	1.7	6.2	1.3			days	INCLUDE	Table header states mean (SD).
AUDIT-0169	Huang 2025	V34_B2_019	PONV	Vomiting	Postoperative	Events/total	43.0	45.0					3.0	9.0	participants	INCLUDE	Table gives postoperative vomiting without a more specific clock-time label.
AUDIT-0170	Huang 2025	V34_B2_020	Rescue analgesia	Use of additional analgesic	Postoperative	Events/total	43.0	45.0					1.0	4.0	participants	INCLUDE	Methods specify ketorolac tromethamine 30 mg IM for VAS≥6 or patient request within 24 h.
AUDIT-0171	Huang 2025	V34_B2_021	GI adverse event	Bowel obstruction	Postoperative	Events/total	43.0	45.0					1.0	0.0	participants	INCLUDE	Postoperative bowel obstruction.
AUDIT-0172	Huang 2025	V34_B2_022	Adverse events	Serious adverse events or fatalities	Study follow-up	Events/total	43.0	45.0					0.0	0.0	participants	INCLUDE	The article also states no serious adverse events or complications related to the EA procedure were recorded.
AUDIT-0173	Gao 2021	V34_B2_023	GI recovery	Time to first bowel sounds	Postoperative	Mean/SD	303.0	307.0	41.4	22.6	46.0	24.1			hours	INCLUDE	NOT REPORTED
AUDIT-0174	Gao 2021	V34_B2_024	Pain	Abdominal pain score	Postoperative 72 h	Mean/SD	303.0	307.0	1.4	1.4	1.3	1.5			Score; scale not defined in main article	HOLD	Main article states symptom scores/vomiting were assessed at postoperative 72 h.
AUDIT-0175	Gao 2021	V34_B2_025	GI symptoms	Distention score	Postoperative 72 h	Mean/SD	303.0	307.0	1.6	0.9	1.6	0.9			Score; scale not defined in main article	HOLD	Main article states symptom scores/vomiting were assessed at postoperative 72 h.
AUDIT-0176	Gao 2021	V34_B2_026	PONV	Nausea score	Postoperative 72 h	Mean/SD	303.0	307.0	1.0	1.6	1.1	1.7			Score; scale not defined in main article	HOLD	Main article states symptom scores/vomiting were assessed at postoperative 72 h.
AUDIT-0177	Gao 2021	V34_B2_027	PONV	Number of vomiting episodes	Postoperative 72 h	Mean/SD	303.0	307.0	0.0	0.5	0.0	0.1			episodes	INCLUDE	Main article states symptom scores/vomiting were assessed at postoperative 72 h.
AUDIT-0178	Jiang 2026	V34_B2_028	GI recovery	Time to first defecation	Postoperative	Median/IQR	294.0	293.0							hours	NARRATIVE ONLY	The effect CI is printed in descending numerical order (−3.8 to −6.0); preserved verbatim.
AUDIT-0179	Jiang 2026	V34_B2_029	Pain	NRS pain score	AMBIGUOUS — single summary; Methods planned 6 h, 24 h and 48 h	Median/IQR	294.0	293.0							NRS 0-10	HOLD	The paper prespecifies NRS at 6, 24 and 48 h but reports only this one numerical summary without identifying which timepoint it represents. Do not relabel as 24 h.
AUDIT-0180	Jiang 2026	V34_B2_030	GI adverse event	Abdominal distention incidence	Postoperative	Events/total	294.0	293.0					62.0	87.0	participants	INCLUDE	NOT REPORTED
AUDIT-0181	Jiang 2026	V34_B2_031	Healthcare utilization	Hospital cost	Hospitalization	Median/IQR	294.0	293.0							Chinese yuan	NARRATIVE ONLY	The printed effect estimate direction does not equal the raw median difference; preserve as printed and do not recompute silently.
AUDIT-0182	Jiang 2026	V34_B2_032	Length of stay	Postoperative hospital stay	Postoperative hospitalization	Median/IQR	294.0	293.0							days	NARRATIVE ONLY	NOT REPORTED
AUDIT-0183	Jiang 2026	V34_B2_033	Adverse events	Any postoperative complication/adverse event	Study follow-up	Events/total	294.0	293.0					8.0	7.0	participants	INCLUDE	Do not pool the overall adverse-event row together with its component rows in the same analysis.
AUDIT-0184	Jiang 2026	V34_B2_034	Adverse events	Severe adverse events	Study follow-up	Events/total	294.0	293.0					0.0	0.0	participants	INCLUDE	NOT REPORTED
AUDIT-0185	Jiang 2026	V34_B2_035	Adverse events	Subcutaneous hematoma	Study follow-up	Events/total	294.0	293.0					0.0	0.0	participants	INCLUDE	NOT REPORTED
AUDIT-0186	Jiang 2026	V34_B2_036	Adverse events	Rubefaction	Study follow-up	Events/total	294.0	293.0					6.0	6.0	participants	INCLUDE	NOT REPORTED
AUDIT-0187	Jiang 2026	V34_B2_037	Adverse events	Hydroderma	Study follow-up	Events/total	294.0	293.0					2.0	1.0	participants	INCLUDE	NOT REPORTED
AUDIT-0188	Wang 2023	V34_B2_038	Sleep quality	PSQI and AIS postoperative sleep quality	POD3	Graph only	40.0	43.0							PSQI and AIS scores	GRAPH ONLY	Exact numerical values are not printed; do not estimate from bar heights.
AUDIT-0189	Wang 2023	V34_B2_039	Pain	Rest pain VAS	24 h	Graph only	40.0	43.0							VAS 0-10	GRAPH ONLY	Exact mean/SD values are not printed; formal digitization would be required.
AUDIT-0190	Wang 2023	V34_B2_040	Pain	Rest pain VAS	48 h	Graph only	40.0	43.0							VAS 0-10	GRAPH ONLY	Exact mean/SD values are not printed; formal digitization would be required.
AUDIT-0191	Wang 2023	V34_B2_041	Pain	Rest pain VAS	72 h	Graph only	40.0	43.0							VAS 0-10	GRAPH ONLY	Exact mean/SD values are not printed; formal digitization would be required.
AUDIT-0192	Wang 2023	V34_B2_042	Pain	Activity pain VAS	48 h	Graph only	40.0	43.0							VAS 0-10	GRAPH ONLY	Exact mean/SD values are not printed; do not estimate from the graph.
AUDIT-0193	Wang 2023	V34_B2_043	Pain	Activity pain VAS	72 h	Graph only	40.0	43.0							VAS 0-10	GRAPH ONLY	Exact mean/SD values are not printed; do not estimate from the graph.
AUDIT-0194	Wang 2023	V34_B2_044	Length of stay	Postoperative hospitalization	Postoperative hospitalization	Mean/SD	40.0	43.0	8.6	3.86	8.65	3.47			days	INCLUDE	NOT REPORTED
AUDIT-0195	Wang 2023	V34_B2_045	GI adverse event	Abdominal distension	Within 72 h after surgery	Events/total	40.0	43.0					11.0	24.0	participants	INCLUDE	NOT REPORTED
AUDIT-0196	Wang 2023	V34_B2_046	Adverse events	Dizziness	Within 72 h after surgery	Events/total	40.0	43.0					10.0	16.0	participants	INCLUDE	NOT REPORTED
AUDIT-0197	Wang 2023	V34_B2_047	PONV	PONV incidence	Within 72 h after surgery	Events/total	40.0	43.0					6.0	19.0	participants	INCLUDE	NOT REPORTED
AUDIT-0198	Wang 2023	V34_B2_048	Adverse events	Postoperative pulmonary complications	Within 72 h after surgery	Events/total	40.0	43.0					7.0	13.0	participants	INCLUDE	NOT REPORTED
AUDIT-0199	Tu 2024	V34_B3_001	PONV	Vomiting incidence	0–2 h after craniotomy	Events/total	57.0	58.0					4.0	10.0	participants	INCLUDE	NOT REPORTED
AUDIT-0200	Tu 2024	V34_B3_002	PONV	Nausea severity score	0–2 h after craniotomy	Median/IQR	57.0	58.0							WHO PONV 4-class nausea rating, 0–3	NARRATIVE ONLY	The paper describes a 4-class WHO PONV rating: 0 no nausea, 1 mild nausea/abdominal discomfort, 2 evident nausea without vomiting, 3 extreme nausea/vomiting.
AUDIT-0201	Tu 2024	V34_B3_003	PONV	Nausea severity score	2–6 h after craniotomy	Median/IQR	57.0	58.0							WHO PONV 4-class nausea rating, 0–3	NARRATIVE ONLY	The paper describes a 4-class WHO PONV rating: 0 no nausea, 1 mild nausea/abdominal discomfort, 2 evident nausea without vomiting, 3 extreme nausea/vomiting.
AUDIT-0202	Tu 2024	V34_B3_004	PONV	Nausea severity score	6–24 h after craniotomy	Median/IQR	57.0	58.0							WHO PONV 4-class nausea rating, 0–3	NARRATIVE ONLY	The paper describes a 4-class WHO PONV rating: 0 no nausea, 1 mild nausea/abdominal discomfort, 2 evident nausea without vomiting, 3 extreme nausea/vomiting.
AUDIT-0203	Tu 2024	V34_B3_005	Rescue antiemetic	Use of metoclopramide 10 mg IM	0–2 h after craniotomy	Events/total	57.0	58.0					0.0	0.0	participants	INCLUDE	Metoclopramide 10 mg IM was the prespecified rescue antiemetic for difficult-to-tolerate nausea/vomiting.
AUDIT-0204	Tu 2024	V34_B3_006	Rescue antiemetic	Use of metoclopramide 10 mg IM	2–6 h after craniotomy	Events/total	57.0	58.0					0.0	0.0	participants	INCLUDE	Metoclopramide 10 mg IM was the prespecified rescue antiemetic for difficult-to-tolerate nausea/vomiting.
AUDIT-0205	Tu 2024	V34_B3_007	Rescue antiemetic	Use of metoclopramide 10 mg IM	6–24 h after craniotomy	Events/total	57.0	58.0					1.0	1.0	participants	INCLUDE	Metoclopramide 10 mg IM was the prespecified rescue antiemetic for difficult-to-tolerate nausea/vomiting.
AUDIT-0206	Tu 2024	V34_B3_008	Pain	VAS pain intensity	0–2 h after craniotomy	Median/IQR	57.0	58.0							VAS 0–10	NARRATIVE ONLY	NOT REPORTED
AUDIT-0207	Tu 2024	V34_B3_009	Pain	VAS pain intensity	2–6 h after craniotomy	Median/IQR	57.0	58.0							VAS 0–10	NARRATIVE ONLY	NOT REPORTED
AUDIT-0208	Tu 2024	V34_B3_010	Adverse events	TEAS-related adverse events	0–24 h testing period	Events/total	57.0	58.0					0.0	0.0	participants	INCLUDE	The article prospectively listed malignant arrhythmia, abnormal blood-pressure fluctuation, fainting, serious pain and local infection as TEAS adverse events.
AUDIT-0209	Sun 2017	V34_B3_011	Pain	Resting VAS	1 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0210	Sun 2017	V34_B3_012	Pain	Resting VAS	6 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0211	Sun 2017	V34_B3_013	Pain	Resting VAS	24 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0212	Sun 2017	V34_B3_014	Pain	Resting VAS	48 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0213	Sun 2017	V34_B3_015	Pain	Activity-evoked VAS during coughing	1 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0214	Sun 2017	V34_B3_016	Pain	Activity-evoked VAS during coughing	6 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0215	Sun 2017	V34_B3_017	Pain	Activity-evoked VAS during coughing	48 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0216	Sun 2017	V34_B3_018	Pain	Resting VAS	1 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0217	Sun 2017	V34_B3_019	Pain	Resting VAS	6 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0218	Sun 2017	V34_B3_020	Pain	Resting VAS	24 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0219	Sun 2017	V34_B3_021	Pain	Resting VAS	48 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0220	Sun 2017	V34_B3_022	Pain	Activity-evoked VAS during coughing	1 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0221	Sun 2017	V34_B3_023	Pain	Activity-evoked VAS during coughing	6 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0222	Sun 2017	V34_B3_024	Pain	Activity-evoked VAS during coughing	48 h	Graph only	91.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0223	Sun 2017	V34_B3_025	Pain	Resting VAS	1 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0224	Sun 2017	V34_B3_026	Pain	Resting VAS	6 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0225	Sun 2017	V34_B3_027	Pain	Resting VAS	24 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0226	Sun 2017	V34_B3_028	Pain	Resting VAS	48 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0227	Sun 2017	V34_B3_029	Pain	Activity-evoked VAS during coughing	1 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0228	Sun 2017	V34_B3_030	Pain	Activity-evoked VAS during coughing	6 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0229	Sun 2017	V34_B3_031	Pain	Activity-evoked VAS during coughing	48 h	Graph only	89.0	90.0							VAS 0–10	GRAPH ONLY	Exact numerical values are not printed in text/table. No visual digitization performed.
AUDIT-0230	Sun 2017	V34_B3_032	PONV	Nausea	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0231	Sun 2017	V34_B3_033	PONV	Nausea	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0232	Sun 2017	V34_B3_034	PONV	Nausea	Within 48 h after surgery	Published percentage (95% CI)	89.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0233	Sun 2017	V34_B3_035	PONV	Vomiting	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0234	Sun 2017	V34_B3_036	PONV	Vomiting	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0235	Sun 2017	V34_B3_037	PONV	Vomiting	Within 48 h after surgery	Published percentage (95% CI)	89.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0236	Sun 2017	V34_B3_038	Rescue antiemetic	Additional antiemetic requirement	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0237	Sun 2017	V34_B3_039	Rescue antiemetic	Additional antiemetic requirement	Within 48 h after surgery	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0238	Sun 2017	V34_B3_040	Rescue antiemetic	Additional antiemetic requirement	Within 48 h after surgery	Published percentage (95% CI)	89.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0239	Sun 2017	V34_B3_041	Patient satisfaction	Patient satisfaction — extremely satisfied	Postoperative assessment; exact clock time not separately stated	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0240	Sun 2017	V34_B3_042	Patient satisfaction	Patient satisfaction — extremely satisfied	Postoperative assessment; exact clock time not separately stated	Published percentage (95% CI)	91.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0241	Sun 2017	V34_B3_043	Patient satisfaction	Patient satisfaction — extremely satisfied	Postoperative assessment; exact clock time not separately stated	Published percentage (95% CI)	89.0	90.0							percent	NARRATIVE ONLY	Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.
AUDIT-0242	Sun 2017	V34_B3_044	Intraoperative opioid	Author-defined intraoperative morphine-equivalent exposure	Intraoperative	Mean/SD	91.0	90.0	1.6	0.4	1.5	0.4			mg/kg; author-defined conversion metric	CONDITIONAL	Authors converted intraoperative sufentanil/remifentanil to a study-defined morphine metric using their stated equivalencies. Preserve as author-defined; do not mix automatically with standardized pos
AUDIT-0243	Sun 2017	V34_B3_045	Intraoperative opioid	Author-defined intraoperative morphine-equivalent exposure	Intraoperative	Mean/SD	91.0	90.0	1.6	0.4	1.5	0.4			mg/kg; author-defined conversion metric	CONDITIONAL	Authors converted intraoperative sufentanil/remifentanil to a study-defined morphine metric using their stated equivalencies. Preserve as author-defined; do not mix automatically with standardized pos
AUDIT-0244	Sun 2017	V34_B3_046	Intraoperative opioid	Author-defined intraoperative morphine-equivalent exposure	Intraoperative	Mean/SD	89.0	90.0	1.5	0.4	1.5	0.4			mg/kg; author-defined conversion metric	CONDITIONAL	Authors converted intraoperative sufentanil/remifentanil to a study-defined morphine metric using their stated equivalencies. Preserve as author-defined; do not mix automatically with standardized pos
AUDIT-0245	Sun 2017	V34_B3_047	Functional recovery	Extubation time	Postoperative	Mean/SD	91.0	90.0	20.8	15.8	22.5	13.2			minutes	INCLUDE	NOT REPORTED
AUDIT-0246	Sun 2017	V34_B3_048	Functional recovery	Extubation time	Postoperative	Mean/SD	91.0	90.0	18.4	10.1	22.5	13.2			minutes	INCLUDE	NOT REPORTED
AUDIT-0247	Sun 2017	V34_B3_049	Functional recovery	Extubation time	Postoperative	Mean/SD	89.0	90.0	21.5	12.3	22.5	13.2			minutes	INCLUDE	NOT REPORTED
AUDIT-0248	Sun 2017	V34_B3_050	Functional recovery	Length of stay in PACU	Postoperative	Mean/SD	91.0	90.0	62.2	19.4	66.0	16.0			minutes	INCLUDE	NOT REPORTED
AUDIT-0249	Sun 2017	V34_B3_051	Functional recovery	Length of stay in PACU	Postoperative	Mean/SD	91.0	90.0	62.7	16.3	66.0	16.0			minutes	INCLUDE	NOT REPORTED
AUDIT-0250	Sun 2017	V34_B3_052	Functional recovery	Length of stay in PACU	Postoperative	Mean/SD	89.0	90.0	64.8	15.5	66.0	16.0			minutes	INCLUDE	NOT REPORTED
AUDIT-0251	Sun 2017	V34_B3_053	GI recovery	Time to first postoperative flatus	Postoperative	Mean/SD	91.0	90.0	45.2	19.9	41.5	19.6			hours	INCLUDE	NOT REPORTED
AUDIT-0252	Sun 2017	V34_B3_054	GI recovery	Time to first postoperative flatus	Postoperative	Mean/SD	91.0	90.0	44.7	16.6	41.5	19.6			hours	INCLUDE	NOT REPORTED
AUDIT-0253	Sun 2017	V34_B3_055	GI recovery	Time to first postoperative flatus	Postoperative	Mean/SD	89.0	90.0	41.6	18.1	41.5	19.6			hours	INCLUDE	NOT REPORTED
AUDIT-0254	Sun 2017	V34_B3_056	GI recovery	Time to first postoperative defecation	Postoperative	Mean/SD	91.0	90.0	63.6	19.8	63.4	22.9			hours	INCLUDE	NOT REPORTED
AUDIT-0255	Sun 2017	V34_B3_057	GI recovery	Time to first postoperative defecation	Postoperative	Mean/SD	91.0	90.0	61.8	15.7	63.4	22.9			hours	INCLUDE	NOT REPORTED
AUDIT-0256	Sun 2017	V34_B3_058	GI recovery	Time to first postoperative defecation	Postoperative	Mean/SD	89.0	90.0	57.3	20.6	63.4	22.9			hours	INCLUDE	NOT REPORTED
AUDIT-0257	Sun 2017	V34_B3_059	Adverse events	TEAS-related side effects	0–48 h postoperative	Events/total	91.0	90.0					0.0	0.0	participants	INCLUDE	Specific monitored TEAS side effects included local irritation, redness, contact dermatitis and muscle ache.
AUDIT-0258	Sun 2017	V34_B3_060	Adverse events	TEAS-related side effects	0–48 h postoperative	Events/total	91.0	90.0					0.0	0.0	participants	INCLUDE	Specific monitored TEAS side effects included local irritation, redness, contact dermatitis and muscle ache.
AUDIT-0259	Sun 2017	V34_B3_061	Adverse events	TEAS-related side effects	0–48 h postoperative	Events/total	89.0	90.0					0.0	0.0	participants	INCLUDE	Specific monitored TEAS side effects included local irritation, redness, contact dermatitis and muscle ache.
AUDIT-0260	Sim 2002	V34_B3_062	Pain	Mean resting VAS over first 24 h	0–24 h mean across 6-hourly assessments	Mean/SD	30.0	30.0	4.7	1.8	4.5	2.1			VAS 0–10	INCLUDE	Table footnote states these are mean values over 24 h, not the exact 24-h point measurement.
AUDIT-0261	Sim 2002	V34_B3_063	Pain	Mean resting VAS over first 24 h	0–24 h mean across 6-hourly assessments	Mean/SD	30.0	30.0	3.9	1.6	4.5	2.1			VAS 0–10	INCLUDE	Table footnote states these are mean values over 24 h, not the exact 24-h point measurement.
AUDIT-0262	Sim 2002	V34_B3_064	Pain	Resting VAS	6 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0263	Sim 2002	V34_B3_065	Pain	Resting VAS	12 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0264	Sim 2002	V34_B3_066	Pain	Resting VAS	18 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0265	Sim 2002	V34_B3_067	Pain	Resting VAS	24 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0266	Sim 2002	V34_B3_068	Pain	Resting VAS	6 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0267	Sim 2002	V34_B3_069	Pain	Resting VAS	12 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0268	Sim 2002	V34_B3_070	Pain	Resting VAS	18 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0269	Sim 2002	V34_B3_071	Pain	Resting VAS	24 h	Other (describe)	30.0	30.0							VAS 0–10	NOT REPORTED	Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.
AUDIT-0270	Sim 2002	V34_B3_072	PONV	PONV	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0271	Sim 2002	V34_B3_073	PONV	PONV	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0272	Sim 2002	V34_B3_074	Opioid-related adverse effect	Drowsiness	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0273	Sim 2002	V34_B3_075	Opioid-related adverse effect	Drowsiness	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0274	Sim 2002	V34_B3_076	Opioid-related adverse effect	Pruritus	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0275	Sim 2002	V34_B3_077	Opioid-related adverse effect	Pruritus	0–24 h	Published percentage	30.0	30.0							percent	NARRATIVE ONLY	Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.
AUDIT-0276	Sim 2002	V34_B3_078	Opioid consumption	Postoperative IV PCA morphine in interval	0–6 h	Graph only	30.0	30.0							mg/kg	GRAPH ONLY	Exact numerical interval value is not printed. No visual digitization performed.
AUDIT-0277	Sim 2002	V34_B3_079	Opioid consumption	Postoperative IV PCA morphine in interval	12–18 h	Graph only	30.0	30.0							mg/kg	GRAPH ONLY	Exact numerical interval value is not printed. No visual digitization performed.
