covidence_number,title,full_text_retrieved,source_type,source_description,pdf_available,pdf_status,complete_html_used,identity_verified,eligibility_vote_cast,screening_sequence,retrieval_incident,notes,full_article_title,full_article_citation,full_article_local_path,human_readjudication_required
393,Transcutaneous electrical acupoint stimulation promotes general anesthesia recovery in patients undergoing gastrointestinal surgery,complete bilingual indexed abstract only,covidence_pubmed_complete_bilingual_abstract,Complete Covidence/PubMed bilingual abstract and official issue metadata; full PDF not retrieved.,not retrieved,not_retrieved,Covidence/PubMed abstract and official issue page,yes; DOI/PMID match,yes; INCLUDE - human review for age,207,full PDF not retrieved,All criteria except explicit adult age are reported.,,,,
475,Electroacupuncture of both single- and multi-acupoints promotes recovery of gastrointestinal function in laparoscopic cholecystectomy patients,complete indexed abstract only,covidence_pubmed_complete_abstract,Complete Covidence/PubMed abstract; SciOpen DOI route returned 404 and CNKI was not used.,not located,not_located,Covidence/PubMed abstract,yes; DOI/PMID match,yes; INCLUDE - human review for age,208,full PDF not located,Core eligibility is explicit except adult age.,,,,
476,Effect of low-frequency electrical acupoint stimulation on gastrointestinal motility function following radical gastrectomy in patients with gastric cancer,complete indexed abstract only,covidence_pubmed_complete_abstract,Complete Covidence/PubMed abstract; no stable non-CNKI full text located.,not located,not_located,Covidence/PubMed abstract,yes; DOI/PMID match,"yes; INCLUDE - human review for modality, GA, timing and age",209,full PDF not located,"Electrical acupoint stimulation is reported, but surface versus needle delivery, GA, age and exact first-session timing are absent.",,,,
493,Prewarming effect of transcutaneous acupoint electrical stimulation preconditioning in patients undergoing elective video-assisted thoracoscopic lobectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age verification,210,full PDF not located,,,,,
528,Electroacupuncture Treatment Conduced Before and After Surgery Is Better in Promoting Recovery of Gastrointestinal Function in Colorectal Cancer Patients Undergoing Radical Resection,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age verification,211,full PDF not located,,,,,
529,Clinical Trial of Electroacupuncture Treatment for Relieving Stress Responses in Patients Undergoing Gastrointestinal Surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,"INCLUDE; GA, age and timing verification",212,full PDF not located,,,,,
575,Effect of Transcutaneous Acupoint Electrical Stimulation on Hemodynamic Fluctuation Caused by Loosing Tourniquet in Elderly Patients Undergoing Knee Joint Replacement,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE,213,full PDF not located,,,,,
592,A Randomized Controlled Clinical Trial for Electroacupuncture Treatment of Post-surgical Gastrointestinal Dysfunction in Patients Undergoing Laparotomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,"INCLUDE; GA, age and timing verification",214,full PDF not located,,,,,
647,Electroacupuncture Intervention Combined with Anesthetics for Analgesia and Post-surgical Gastrointestinal Recovery in Pneumectomy Patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,"INCLUDE; GA, age and timing verification",215,full PDF not located,,,,,
799,Observation on the anti-stress effect of acupuncture-assisted anesthesia for pulmonary lobectomy patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age verification,216,full PDF not located,,,,,
847,Observation on the analgesic effect of transcutaneous electrical acupoint stimulation for breast radical carcinoma operation,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age and exact-start verification,217,full PDF not located,,,,,
865,Effect of transcutaneous acupoint electrical stimulation on lipid peroxidation and cognitive function in patients experiencing craniotomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age verification,218,full PDF not located,,,,,
302,Transcutaneous electrical acupoint stimulation combined with electroacupuncture for rapid recovery after abdominal surgery: a randomized controlled trial,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; separable TEAS and EA arms,219,full PDF not located,,,,,
716,Efficacy on analgesia with electric stimulation of long-term retaining needle after laparoscopic cholecystectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; needle-type and age verification,220,full PDF not located,,,,,
747,Effects of acupuncture combined general anesthesia on endorphin and hemodynamics of laparoscopic cholecystectomy patients in the perioperative phase,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE,221,full PDF not located,,,,,
638,Analgesic and Sedative Effect of Acupuncture Combined with Medicine on Patients Undergoing Cardiac Surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; age and timing verification,222,full PDF not located,,,,,
801,The application of electro-acupuncture combined with sevoflurane anesthesia in neurosurgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; companion and age review,223,full PDF not located,,,,,
833,Effect of electroacupuncture on Sevoflurane anesthesia in patients undergoing resection of supratentorial tumor,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE; companion and age review,224,full PDF not located,,,,,
473,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial",complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,225,full PDF not located,CNKI was not used.,,,,
440,Effect of transcutaneous electrical acupoint stimulation on venous thrombosis after lung cancer surgery: a randomized controlled trial,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,226,full PDF not located,CNKI was not used.,,,,
452,Effect of transcutaneous electrical acupoint stimulation on catheter related bladder discomfort after ureteroscopic lithotripsy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,227,full PDF not located,CNKI was not used.,,,,
469,Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,228,full PDF not located,CNKI was not used.,,,,
421,Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,229,full PDF not located,CNKI was not used.,,,,
434,Comparative study between electroacupuncture at Neima point and Neiguan (PC 6) and epidural nerve block for preemptive analgesia in patients undergoing thoracic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,230,full PDF not located,CNKI was not used.,,,,
405,Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,231,full PDF not located,CNKI was not used.,,,,
385,Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,232,full PDF not located,CNKI was not used.,,,,
280,Effect of electroacupuncture at Baihui (GV 20) and Sishencong (EX-HN 1) on presurgical anxiety in patients with gynecological laparoscopic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,233,full PDF not located,CNKI was not used.,,,,
273,Effects of transcutaneous electrical acupoint stimulation on the postoperative sleep quality and inflammatory factors in frail elderly patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,234,full PDF not located,CNKI was not used.,,,,
241,Electroacupuncture combined with continuous adductor canal block for postoperative analgesia in patients undergoing total knee arthroplasty,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,235,full PDF not located,CNKI was not used.,,,,
230,Electroacupuncture promotes gastrointestinal function recovery in patients undergoing laparoscopic gastrectomy: a randomized controlled trial,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,236,full PDF not located,CNKI was not used.,,,,
220,Clinical study of electroacupuncture therapy on postoperative rehabilitation of patients with knee fractures,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,237,full PDF not located,CNKI was not used.,,,,
217,Effect of transcutaneous electrical acupoint stimulation on postoperative cough in lung cancer patients undergoing video-assisted thoracoscopic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,238,full PDF not located,CNKI was not used.,,,,
190,Effect of transcutaneous electrical acupoint stimulation on postoperative recovery quality in patients undergoing endoscopic sinus surgery: a randomized controlled trial,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,239,full PDF not located,CNKI was not used.,,,,
174,Effect of electroacupuncture pretreatment on the quality of recovery in the patients undergoing laparoscopic gastrointestinal surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,240,full PDF not located,CNKI was not used.,,,,
155,Effect of transcutaneous electrical acupoint stimulation on postoperative pain in patients undergoing modified radical mastectomy for breast cancer,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,241,full PDF not located,CNKI was not used.,,,,
124,Effect of electroacupuncture on intestinal function after gastric cancer surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,242,full PDF not located,CNKI was not used.,,,,
29,Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,243,full PDF not located,CNKI was not used.,,,,
28,Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated human verification,244,full PDF not located,CNKI was not used.,,,,
465,Effect of early electroacupuncture intervention on conscious state of patients after traumatic brain injury surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,245,full PDF not located,CNKI was not used.,,,,
478,Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,246,full PDF not located,CNKI was not used.,,,,
521,Effects of perioperative transcutaneous electrical acupoint stimulation on postoperative analgesia in patients undergoing shoulder arthroscopic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,247,full PDF not located,CNKI was not used.,,,,
541,Application of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block to Enhanced Recovery After Surgery in Patients Undergoing Laparoscopic Colorectal Cancer Resection,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,248,full PDF not located,CNKI was not used.,,,,
560,Effects of transcutaneous electrical acupoint stimulation on quality of recovery during early period after laparoscopic cholecystectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,249,full PDF not located,CNKI was not used.,,,,
577,Influence of electroacupuncture pretreatment on intestinal function in the patients of colorectal cancer surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,250,full PDF not located,CNKI was not used.,,,,
578,Mechanism of acupoint transcutaneous electric stimulation on analgesic anesthesia in the patients undergoing general anesthesia anorectal operation,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,251,full PDF not located,CNKI was not used.,,,,
579,Effects of transcutaneous electrical acupoint stimulation on treatment and prevention of postoperative sore throat after tracheal intubation under general anesthesia,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,252,full PDF not located,CNKI was not used.,,,,
583,Impacts of electroacupuncture at Zusanli and Feishu on postoperative inflammatory reaction and pulmonary complications in senile patients after radical resection of pulmonary carcinoma,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,253,full PDF not located,CNKI was not used.,,,,
626,Clinical observation of gastrointestinal dysfunction after vascular surgery prevented by electroacupuncture,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,254,full PDF not located,CNKI was not used.,,,,
644,Clinical observation on controlling antihypertension with the general anesthesia of TEAS and anesthetics in endoscopic endonasal surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,255,full PDF not located,CNKI was not used.,,,,
655,Impacts of the transcutaneous electrical acupoint stimulation on EC50 in the remifentanil inhibition of tracheal intubation response,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,256,full PDF not located,CNKI was not used.,,,,
659,Impacts on oxidative stress in the patients with cardiac valve replacement treated with electroacupuncture at Neiguan,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,257,full PDF not located,CNKI was not used.,,,,
700,Effect of acupuncture-anesthetic composite anesthesia on the incidence of POCD and inflammatory markers in elderly patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,258,full PDF not located,CNKI was not used.,,,,
709,The anesthesiologic value of transcutaneous acupoint electrical stimulation combined with general intravenous anesthesia in endoscopic thyroidectomy patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,259,full PDF not located,CNKI was not used.,,,,
712,Effects of electroacupuncture preemptive intervention on postoperative pain of mixed hemorrhoids,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,EXCLUDE - Wrong setting / no GA,260,full PDF not located,CNKI was not used.,,,,
713,Effects of electroacupuncture on postoperative functional recovery in patients with gynaecological laparoscopic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,261,full PDF not located,CNKI was not used.,,,,
721,Electroacupuncture intervention combined with general anesthesia for heart valve replacement surgery under cardiopulmonary bypass,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,262,full PDF not located,CNKI was not used.,,,,
723,Impacts of different frequencies of electroacupuncture on cognitive function after abdominal operation,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,263,full PDF not located,CNKI was not used.,,,,
724,Effect of transcutaneous electrical stimulation of ST36 and ST34 combined with general anesthesia on pain and gastrointestinal symptoms in gynecological laparoscopic operation,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,264,full PDF not located,CNKI was not used.,,,,
737,Efficacy of preventing postoperative nausea and vomiting after thyroid tumor surgery by TAES at Neiguan,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,265,full PDF not located,CNKI was not used.,,,,
744,Effect of transcutaneous acupoint electrical stimulation combined with target controlled infusion of propofol on efficacy of general anesthesia for craniotomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,266,full PDF not located,CNKI was not used.,,,,
757,Impacts of electroacupuncture at different frequencies on postoperative nausea and vomiting of patients with laparoscopic surgery,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,267,full PDF not located,CNKI was not used.,,,,
778,Influence of acupuncture-drug compound anesthesia with different frequency electroacupuncture on immune function in patients undergoing pneumonectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,268,full PDF not located,CNKI was not used.,,,,
787,Effects of electroacupuncture assistant general anesthesia on postoperative cognitive dysfunction of aged patients,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,269,full PDF not located,CNKI was not used.,,,,
798,Protecting action of acupuncture-drug compound anesthesia with different frequency electroacupuncture on stress reaction in pneumonectomy,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,270,full PDF not located,CNKI was not used.,,,,
813,Effects of laparoscopic cholecystectomy under different anesthetic methods on T-lymphocyte immune function and postoperative analgesia,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,271,full PDF not located,CNKI was not used.,,,,
889,Analgesic effect of transcutaneous electrical acupoint stimulation combined with target-controlled infusion in general anesthesia,complete indexed abstract only,covidence_pubmed_complete_abstract,,,not_located,,yes,INCLUDE with stated verification,272,full PDF not located,CNKI was not used.,,,,
152,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Nutrition and Promotes Early Recovery of Gastrointestinal Function in Patients with Colorectal Cancer,complete abstract only,covidence_complete_abstract,,,not_accessible_or_not_retrieved,,yes,INCLUDE with human verification,273,full PDF unavailable,,,,,
556,Needleless Transcutaneous Electrical Acustimulation: A Pilot Study Evaluating Improvement in Post-Operative Recovery,complete abstract only,covidence_complete_abstract,,,not_accessible_or_not_retrieved,,yes,INCLUDE with human verification,274,full PDF unavailable,,,,,
589,Effects of Transcutaneous Electrical Acupoint Stimulation on the Stress Response During Extubation After General Anesthesia in Elderly Patients Undergoing Elective Supratentorial Craniotomy,complete abstract only,covidence_complete_abstract,,,not_accessible_or_not_retrieved,,yes,INCLUDE with human verification,275,full PDF unavailable,,,,,
1535,Transcutaneous electrical stimulation of Neiguan anti-emetic acupuncture point in controlling sickness following opioid analgesia in major orthopaedic surgery,complete abstract only,covidence_complete_abstract,,,not_accessible_or_not_retrieved,,yes,INCLUDE with human verification,276,full PDF unavailable,,,,,
3818,Perioperative transcutaneous electrical acupoint stimulation for postoperative pain relief following laparoscopic surgery,complete abstract only,covidence_complete_abstract,,,not_retrieved,,yes,INCLUDE with human verification,277,full PDF not retrieved,,,,,
4214,Protecting action of acupuncture-drug compound anesthesia with different frequency electroacupuncture on stress reaction in patients of pneumonectomy,complete abstract only,covidence_complete_abstract,,,not_retrieved,,yes,INCLUDE with human verification,278,full PDF not retrieved,,,,,
4330,"The effect of electroacustimulation on postoperative nausea, vomiting, and pain in outpatient plastic surgery patients: a prospective, randomized, blinded, clinical trial",complete abstract only,covidence_complete_abstract,,,not_retrieved,,yes,INCLUDE with human verification,279,full PDF not retrieved,,,,,
4655,Effect of intraoperative electroacupuncture on peripheral blood lymphocyte subsets in patients undergoing laparoscopic cholecystectomy: A randomized controlled trial,complete abstract only,covidence_complete_abstract,,,not_retrieved,,yes,INCLUDE with human verification,280,full PDF not retrieved,,,,,
4693,"Randomised, controlled study of preoperative electroacupuncture for postoperative pain control after cardiac surgery",complete abstract only,covidence_complete_abstract,,,not_retrieved,,yes,INCLUDE with human verification,281,full PDF not retrieved,,,,,
