lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,v34_record_id
,V34_NEW_RESULT,Non-opioid rescue analgesia,Lu 2021,V34_B3_093,Combined PC6+CV17 TEAS,Sham/no current,Demand for rescue parecoxib,0–24 h,Events/total,190.0,188.0,,,,,,4.0,,,,,,7.0,participants,Table 3: 0.35; Results prose: 0.58,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,INTERNAL SOURCE CONFLICT in reported omnibus P value. Rescue protocol: parecoxib sodium 40 mg for NRS >4.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0291
,V34_NEW_RESULT,Nausea,Lu 2021,V34_B3_094,Single PC6 TEAS,Sham/no current,Nausea incidence,0–24 h,Events/total,198.0,188.0,,,,,,38.0,,,,,,45.0,participants,<0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0292
,V34_NEW_RESULT,Nausea,Lu 2021,V34_B3_095,Combined PC6+CV17 TEAS,Sham/no current,Nausea incidence,0–24 h,Events/total,190.0,188.0,,,,,,12.0,,,,,,45.0,participants,<0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0293
,V34_NEW_RESULT,Vomiting,Lu 2021,V34_B3_096,Single PC6 TEAS,Sham/no current,Vomiting incidence,0–24 h,Events/total,198.0,188.0,,,,,,21.0,,,,,,22.0,participants,0.93,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0294
,V34_NEW_RESULT,Vomiting,Lu 2021,V34_B3_097,Combined PC6+CV17 TEAS,Sham/no current,Vomiting incidence,0–24 h,Events/total,190.0,188.0,,,,,,22.0,,,,,,22.0,participants,0.93,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0295
,V34_NEW_RESULT,PONV severity,Lu 2021,V34_B3_098,Single PC6 TEAS,Sham/no current,PONV severity score,0–24 h,Mean/SD,198.0,188.0,0.4,0.7,,,,,0.4,0.7,,,,,PONV severity score; scale definition not repeated in Table 3,0.03,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0296
,V34_NEW_RESULT,PONV severity,Lu 2021,V34_B3_099,Combined PC6+CV17 TEAS,Sham/no current,PONV severity score,0–24 h,Mean/SD,190.0,188.0,0.3,0.7,,,,,0.4,0.7,,,,,PONV severity score; scale definition not repeated in Table 3,0.03,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0297
,V34_NEW_RESULT,Patient satisfaction,Lu 2021,V34_B3_100,Single PC6 TEAS,Sham/no current,Analgesia satisfaction score,By 24 h after surgery,Mean/SD,198.0,188.0,8.2,1.1,,,,,8.2,0.9,,,,,satisfaction score; scale range not stated in retrieved table text,0.16,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0298
,V34_NEW_RESULT,Patient satisfaction,Lu 2021,V34_B3_101,Combined PC6+CV17 TEAS,Sham/no current,Analgesia satisfaction score,By 24 h after surgery,Mean/SD,190.0,188.0,8.4,0.9,,,,,8.2,0.9,,,,,satisfaction score; scale range not stated in retrieved table text,0.16,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0299
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_102,Single PC6 TEAS,Sham/no current,Post-mastectomy chronic pain incidence,3 months,Events/total,198.0,188.0,,,,,,70.0,,,,,,75.0,participants,0.17,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0300
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_103,Combined PC6+CV17 TEAS,Sham/no current,Post-mastectomy chronic pain incidence,3 months,Events/total,190.0,188.0,,,,,,58.0,,,,,,75.0,participants,0.17,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0301
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_104,Single PC6 TEAS,Sham/no current,NRS among participants reporting chronic pain,3 months,Mean/SD,70.0,75.0,2.6,2.0,,,,,2.8,2.0,,,,,NRS 0–10,0.04,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0302
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_105,Combined PC6+CV17 TEAS,Sham/no current,NRS among participants reporting chronic pain,3 months,Mean/SD,58.0,75.0,2.3,2.0,,,,,2.8,2.0,,,,,NRS 0–10,0.04,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0303
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_106,Single PC6 TEAS,Sham/no current,NRS among participants reporting chronic pain,6 months,Mean/SD,72.0,65.0,2.7,2.0,,,,,2.8,1.8,,,,,NRS 0–10,0.31,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0304
,V34_NEW_RESULT,Chronic pain,Lu 2021,V34_B3_107,Combined PC6+CV17 TEAS,Sham/no current,NRS among participants reporting chronic pain,6 months,Mean/SD,42.0,65.0,2.4,1.9,,,,,2.8,1.8,,,,,NRS 0–10,0.31,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,AUDIT-0305
,V34_NEW_RESULT,Pain — unspecified context,Long 2025,V34_B3_108,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),VAS pain intensity,48 h,Mean/SD,27.0,26.0,1.85,0.72,,,,,2.65,0.94,,,,,VAS 0–10,0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0306
,V34_NEW_RESULT,LOS,Long 2025,V34_B3_109,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Hospital stay,Postoperative hospitalization,Mean/SD,27.0,26.0,13.37,3.03,,,,,14.77,3.57,,,,,days,0.130,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0307
,V34_NEW_RESULT,Functional recovery,Long 2025,V34_B3_110,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Extubation time,Immediate postoperative recovery,Mean/SD,27.0,26.0,7.44,6.03,,,,,10.85,8.44,,,,,minutes,0.097,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0308
,V34_NEW_RESULT,Functional recovery — PACU,Long 2025,V34_B3_111,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Recovery-room stay >30 min,Immediate postoperative recovery,Published percentage,27.0,26.0,,,,,,,,,,,,,percent,0.336,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Printed percentage/CI retained; event counts not reverse-engineered.,,Raw event counts are not used because the article reports percentages and the study has group-denominator inconsistencies.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0309
,V34_NEW_RESULT,Neurocognitive,Long 2025,V34_B3_112,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Perioperative neurocognitive disorder (PND),POD7,Published event count + percentage; denominator inconsistent,,,,,,,,1.0,,,,,,2.0,participants,>0.05,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Table percentages imply denominators C=25 and A=28, whereas study-level analyzed counts elsewhere are C=26 and A=27 and total n=53. Preserve published counts/percentages; do not reconstruct denominators.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0310
,V34_NEW_RESULT,Pain — unspecified context,Long 2025,V34_B3_113,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Stomach pain and distension,Postoperative,Events/total,27.0,26.0,,,,,,3.0,,,,,,2.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0311
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_114,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Postoperative hypotension,Postoperative,Events/total,27.0,26.0,,,,,,3.0,,,,,,1.0,participants,0.631,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0312
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_115,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Postoperative hypertension,Postoperative,Events/total,27.0,26.0,,,,,,3.0,,,,,,2.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0313
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_116,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Tachycardia/bradycardia,Postoperative,Events/total,27.0,26.0,,,,,,2.0,,,,,,2.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0314
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_117,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Hypoxemia,Postoperative,Events/total,27.0,26.0,,,,,,0.0,,,,,,4.0,participants,0.110,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0315
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_118,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Headache and vertigo,Postoperative,Events/total,27.0,26.0,,,,,,5.0,,,,,,5.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0316
,V34_NEW_RESULT,Adverse events,Long 2025,V34_B3_119,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),Delirious agitation,Postoperative,Events/total,27.0,26.0,,,,,,5.0,,,,,,3.0,participants,0.745,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,AUDIT-0317
,V34_NEW_RESULT,Postoperative opioid dose (native window/unit),Sim 2002,V34_B3_120,Postoperative EA (Group III),Placebo EA (Group I),Postoperative IV PCA morphine in interval,6–12 h,Median/IQR width as printed,30.0,30.0,,,0.08,,,,,,0.1,,,,mg/kg,NOT REPORTED for Group III vs Group I,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"The paper states nonparametric data are presented as median (interquartile range), but prints a single parenthetical IQR value rather than Q1 and Q3. Pairwise P is printed for Group II vs I and II vs III, not Group III vs I.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,AUDIT-0318
,V34_NEW_RESULT,Intraoperative opioid,Sim 2002,V34_B3_121,Postoperative EA (Group III),Placebo EA (Group I),Alfentanil requirement rate,Intraoperative,Mean/SD,30.0,30.0,0.58,0.22,,,,,0.51,0.21,,,,,μg/kg/min,NOT REPORTED for Group III vs Group I,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Postoperative EA cannot estimate a treatment effect on preceding intraoperative alfentanil.,,The paper reports P=0.024 for Group II vs III and P=0.472 for Group II vs I; it does not print a Group III vs I P value.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,AUDIT-0319
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_001,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),PONV incidence,0–2 h,Events/total,33.0,35.0,,,,,,13.0,,,,,,20.0,participants,0.14,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0320
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_002,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),PONV incidence,2–6 h,Events/total,33.0,35.0,,,,,,12.0,,,,,,19.0,participants,0.13,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0321
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_003,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),PONV incidence,24–36 h,Events/total,33.0,35.0,,,,,,0.0,,,,,,3.0,participants,0.085,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"For 24–36 h, the table's P value is visually split across the PDF line break as '0.08' + '5'; recorded as 0.085.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0322
,V34_NEW_RESULT,Vomiting,Wang 2024,V34_B4_004,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),Vomiting incidence,0–6 h combined,Events/total,33.0,35.0,,,,,,7.0,,,,,,19.0,participants,0.005,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,The paper does not provide separate 0–2 h and 2–6 h vomiting counts; only the combined 0–6 h comparison is reported.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0323
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_005,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),PONV incidence,6–12 h,Events/total,35.0,35.0,,,,,,2.0,,,,,,3.0,participants,0.643,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0324
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_006,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),PONV incidence,12–24 h,Events/total,35.0,35.0,,,,,,2.0,,,,,,0.0,participants,0.151,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0325
,V34_NEW_RESULT,PONV composite,Wang 2024,V34_B4_007,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),PONV incidence,24–36 h,Events/total,35.0,35.0,,,,,,0.0,,,,,,0.0,participants,1.00,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0326
,V34_NEW_RESULT,Pain — unspecified context,Wang 2024,V34_B4_008,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),Postoperative pain VAS,2 h,Other (describe),33.0,35.0,,,,,,,,,,,,,VAS 0–10,NOT REPORTED,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Accessed source does not supply the requested numerical result.,,"Outcome was measured according to Methods, but no treatment-stratum numerical pain result is reported in the accessed article. This is NOT REPORTED, not SOURCE NOT ACCESSED.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0327
,V34_NEW_RESULT,Pain — unspecified context,Wang 2024,V34_B4_009,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),Postoperative pain VAS,6 h,Other (describe),33.0,35.0,,,,,,,,,,,,,VAS 0–10,NOT REPORTED,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Accessed source does not supply the requested numerical result.,,"Outcome was measured according to Methods, but no treatment-stratum numerical pain result is reported in the accessed article. This is NOT REPORTED, not SOURCE NOT ACCESSED.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk,AUDIT-0328
