"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"413","1514","A randomized double-blind controlled study assessing electro-acupuncture for the management of post-operative pain after percutaneous nephrolithotomy","Parkhomenko","2017","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Companion conference abstract reports randomized sham-controlled PCNL EA with pain and opioid outcomes, but anaesthetic technique is not stated.","General anaesthesia requires confirmation.","medium","conference_abstract","yes","unclear","yes","EA one hour before PCNL","Sham EA and no acupuncture","yes","not_applicable","yes","yes","","yes","no","no","yes","yes","2026-07-26T11:42:42.608Z","none","Possible companion/duplicate of #1512."
"414","1515","A Prospective Evaluation of Early Acupuncture for Immediate Continence Enhancement After Prostatectomy","NCT07239518","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT07239518 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Early acupuncture after prostatectomy","Control","yes","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:42:43.522Z","none","NCT07239518."
"415","1516","Clinical observation of acupuncture on optimizing intraoperative anesthesia to improve postoperative PONV in patients with benign breast tumor resection","ChiCTR2300068703","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2300068703 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Acupuncture-assisted anaesthesia","Control","yes","not_applicable","unclear","yes","","yes","no","no","no","yes","2026-07-26T11:42:44.246Z","none","ChiCTR2300068703."
"416","1517","The Effect of Acupuncture on the Management of Postoperative pain control in total knee arthroplasty","PACTR201705002261398","2017","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","PACTR201705002261398 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture after TKA","Control","yes","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:42:45.150Z","none","PACTR201705002261398."
"417","1518","Transcutaneous Electrical Acupoint Stimulation of P6 to Prevent Postoperation Nausea and Vomiting","NCT02096835","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT02096835 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","P6 TEAS for PONV","Control","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:42:46.035Z","none","NCT02096835; associated results report already appears as Covidence #660."
"418","1519","The effect of electroacupuncture on opioid-like medication consumption by chronic pain patients: a pilot randomized controlled clinical trial","Zheng","2008","English","yes","No","EXCLUDE_NON_SURGICAL","The randomized trial treated chronic nonmalignant pain over six weeks.","Non-operative chronic pain population.","high","primary_results","yes","no","yes","EA for chronic pain","Sham EA","yes","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:42:49.192Z","none",""
"419","1523","Electroacupuncture analgesia in major abdominal and pelvic surgery: a randomised study","Poulain","1997","English","yes","Yes","INCLUDE_CLEAR","Randomized major abdominal/pelvic cancer-surgery trial used EA within standard general anaesthesia versus no acupuncture and reported fentanyl requirement, extubation and recovery.","Intraoperative EA effect is separable before postoperative TENS was added.","high","primary_results","yes","yes","yes","Intraoperative EA within standard anaesthetic","Standard anaesthetic without EA","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:42:50.081Z","none","DOI 10.1136/aim.15.1.10; postoperative TENS confounds only postoperative contrasts."
"420","1525","Perioperative transcutaneous electrical acupoint stimulation for postoperative pain relief in laparoscopic cholecystectomy and gynecological surgery: a randomized controlled trial","ChiCTR-IOR-15006032","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-IOR-15006032 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS","Control/sham","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:42:50.831Z","none","ChiCTR-IOR-15006032."
"421","1528","Electroacupuncture for postoperative pain","Wigram","1986","English","yes","No","EXCLUDE_WRONG_INTERVENTION","The randomized postoperative-pain trial used electroacupuncture of the ear.","Auricular electroacupuncture is explicitly excluded.","high","primary_results","yes","unclear","yes","Auricular EA","Papaveretum only","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:43:22.029Z","none",""
"422","1529","Effects of TEAS on POCD","NCT04338555","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT04338555 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:22.918Z","none","NCT04338555"
"423","1530","Clinical application of electroacupuncture assisted Opioid-sparing anesthesia in laparoscopic abdominal surgery","ITMCTR2024000289","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2024000289 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:26.104Z","none","ITMCTR2024000289"
"424","1531","Electroacupuncture Intervention in Catheter Ablation of Atrial Fibrillation","NCT05575544","2022","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT05575544 is a trial-registration record without participant results.","Trial registration without results; catheter ablation is also non-operative.","high","trial_registration","no","no","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:29.248Z","none","NCT05575544"
"425","1532","Study on the preventvie and therapeutic effects of transcutaneous electrical acupoint stimulation on emergence agitation of elderly patients","ChiCTR2200064760","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200064760 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:32.397Z","none","ChiCTR2200064760"
"426","1533","The Application of Key Traditional Chinese Medicine Techniques: transcutaneous Acupoint Electrical Stimulation Combined with Auricular Point Pressing in the Management of Postoperative Symptoms in Day Surgery","ChiCTR2500106669","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500106669 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS plus auricular point pressing","Planned control/sham","unclear","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T11:43:33.078Z","none","ChiCTR2500106669"
"427","1534","Electro-acupuncture for recovery of erectile function after Robotic Assisted Radical Prostatectomy in Prostate Cancer patients: a feasibility study and randomised controlled trial","ACTRN12621000886886","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ACTRN12621000886886 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:36.273Z","none","ACTRN12621000886886"
"428","1535","Transcutaneous electrical stimulation of Neiguan anti-emetic acupuncture point in controlling sickness following opioid analgesia in major orthopaedic surgery","McMillan","1994","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized major-orthopedic-surgery trial compared postoperative P6 transcutaneous stimulation with placebo/control and measured 24-hour nausea and vomiting, but anaesthetic technique is not stated.","General anaesthesia requires full-text confirmation.","medium","primary_results","yes","unclear","yes","P6 transcutaneous electrical stimulation plus standard antiemetic","Placebo/control with identical antiemetic care","yes","not_applicable","yes","yes","First 24 postoperative hours.","yes","no","no","no","yes","2026-07-26T11:43:37.165Z","none","DOI 10.1016/S0031-9406(10)61238-2."
"429","1536","Effect of percutaneous auricular vagus nerve stimulation on gastrointestinal function in patients with gastric cancer after surgery","ChiCTR2500102789","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500102789 is a trial-registration record without participant results.","Trial registration without results; auricular stimulation is also excluded.","high","trial_registration","no","unclear","yes","Transauricular vagus stimulation","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:37.838Z","none","ChiCTR2500102789"
"430","1537","ACUPUNCTURE FOR THE POSTOPERATIVE RECOVERY OF HIP FRACTURE PATIENTS: a PILOT RANDOMIZED CONTROLLED TRIAL","NCT07178756","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT07178756 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:40.973Z","none","NCT07178756"
"431","1538","Acupuncture for Postoperative Pain After Abdominal Surgery for Gynecological Diseases","NCT02851186","2016","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT02851186 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:44.129Z","none","NCT02851186"
"432","1539","Clinical study on acupuncture promoting rapid recovery of gastrointestinal function after cholecystectomy","ChiCTR2200064748","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200064748 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:44.805Z","none","ChiCTR2200064748"
"433","1541","Evaluation of the effect of transcutaneous electrical acupoint stimulation with different intensities in patients after pneumonectomy","ChiCTR-IOR-17010701","2017","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-IOR-17010701 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:47.938Z","none","ChiCTR-IOR-17010701"
"434","1542","Effect of transcutaneous electrical acupoint stimulation on oculocardiac reflex in patients with strabismus under general anesthesia","ChiCTR2300071683","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2300071683 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:48.602Z","none","ChiCTR2300071683"
"435","1543","Transcutaneous Acupoint Electrical Stimulation Composite Low-Dose Sufentanil Pretreatment Reduces The Incidence And Severity Of Myoclonus Induced By Etomidate, During Anesthetic Induction","ChiCTR-INR-16009084","2016","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-INR-16009084 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:51.724Z","none","ChiCTR-INR-16009084"
"436","1546","Efficacy and safety of electroacupuncture on bladder disfunction after radical hysterectomy in cervical cancer","KCT0001594","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","KCT0001594 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:54.877Z","none","KCT0001594"
"437","1547","Transcutaneous Electrical Acupoint Stimulation for the Prevention of Postoperative Ileus Following Lumbar Spinal Fusion: a Multicenter Randomized Controlled Trial","ITMCTR2025001526","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001526 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:55.760Z","none","ITMCTR2025001526"
"438","1549","P6 Acupressure Band for Prevention of Postoperative Nausea and Vomiting in Children","NCT06046027","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT06046027 is a trial-registration record without participant results.","Trial registration without results; acupressure and pediatric population are excluded.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:56.411Z","none","NCT06046027"
"439","1550","Electroacupuncture for Laparoscopic/ Robotic Colorectal Surgery","NCT02773472","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT02773472 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Acupuncture/EA/TEAS","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:43:57.062Z","none","NCT02773472"
"440","1551","A Study on the Effect of Electroacupuncture Stimulation Therapy","Kim","1998","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Twenty postoperative patients were randomized to electrical stimulation at LI4/CV24/ST5 or no stimulation and pain was measured, but operation, anaesthesia and exact first-session timing are not reported.","A potentially eligible acute perioperative EA/TEAS trial requires full-text confirmation.","low","primary_results","yes","unclear","yes","Electrical acupuncture-point stimulation at LI4, CV24 and ST5","No stimulation","yes","not_applicable","yes","unclear","Postoperative treatment measured over 7 days.","yes","no","no","no","yes","2026-07-26T11:43:57.708Z","none",""
"441","1552","The influence of traditional Chinese medicine nursing intervention on the recovery of intestinal function after the operation of colorectal cancer","Zhen","2007","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","The active arm combined Evodia hot compress with EA while control received conventional care without either component.","EA effect cannot be separated from the herbal hot-compress intervention.","high","primary_results","yes","unclear","yes","EA at ST36 plus Evodia hot compress","Conventional postoperative care","no","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T11:44:32.140Z","none",""
"442","1553","Efficacy and Safety of Transcutaneous Acupoint Electrical Stimulation in the Treatment of Cervical Spondylosis: a Multicenter Randomized Open-Labeled Controlled Clinical Study","Huang","2025","English","yes","No","EXCLUDE_NON_SURGICAL","The trial treated chronic cervical spondylosis using electronic wrist–ankle acupuncture plus Tuina.","Non-operative population; wrist–ankle acupuncture is excluded.","high","primary_results","yes","no","yes","Electronic wrist–ankle acupuncture plus Tuina","Traditional wrist–ankle acupuncture plus Tuina","no","not_applicable","no","no","","yes","no","no","no","yes","2026-07-26T11:44:33.078Z","none","DOI 10.1155/prm/3949302."
"443","1556","The effect of acupuncture on relieving pain after inguinal surgeries","Taghavi","2014","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized inguinal-surgery conference report compared EA with sham needle electrodes and reported postoperative pain and analgesic use, but anaesthetic technique is not stated.","General anaesthesia is unresolved.","medium","conference_abstract","yes","unclear","yes","Perioperative EA","Sham needle electrodes","yes","not_applicable","yes","yes","","yes","no","no","yes","yes","2026-07-26T11:44:33.833Z","none","DOI 10.1016/S0090-4295(14)01017-6; likely companion of #765."
"444","1557","Electro-acupuncture stimulation at acupoints reduced the severity of hypotension during anesthesia in patients undergoing liver transplantation","Sahmeddini","2012","English","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","Liver-transplant recipients were randomized to EA for hypotension versus norepinephrine.","Only an active drug comparator was available.","high","primary_results","yes","yes","yes","EA at PC5/PC6","Norepinephrine","no","not_applicable","yes","yes","","no","yes","no","yes","yes","2026-07-26T11:44:34.707Z","none","DOI 10.1016/j.jams.2011.11.001; companion of #797."
"445","1559","Transcutaneous Electrical Acupoint Stimulation (TEAS) on Prevention Hypotension in Elderly","NCT05272033","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT05272033 is a trial-registration record without results and specifies spinal anaesthesia.","Trial registration without results.","high","trial_registration","no","no","yes","TEAS before spinal anaesthesia","Placebo TEAS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:44:35.590Z","none","NCT05272033."
"446","1560","Effect of Transcutaneous Electrical Acupoint Stimulation on Sleep After Thoracoscopic Surgery","NCT04124679","2019","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT04124679 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS","Control","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:44:36.265Z","none","NCT04124679."
"447","1561","Abdominal Transcutaneous Electrical Acupoint Stimulation on Children With Autism Spectrum Disorder","NCT06763237","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT06763237 is a trial-registration record without results and concerns children with autism.","Trial registration without results.","high","trial_registration","no","no","yes","Abdominal TEAS","Control","yes","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:44:39.408Z","none","NCT06763237; pediatric non-operative population."
"448","1562","Letter to the Editor Regarding ‘‘Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: a Randomized Controlle","Yuan","2023","English","no","No","EXCLUDE_PUBLICATION_TYPE","The record is a letter to the editor about another randomized trial and contains no independent participant results.","Letter without original results.","high","letter","no","yes","no","Commentary on TEAS plus TAP block","None","unclear","not_applicable","no","unclear","","no","yes","no","no","yes","2026-07-26T11:44:42.547Z","none","DOI 10.1007/s40122-023-00509-x."
"449","1563","Application of Transcutaneous Electrical Acupoint Stimulation in Laparoscopic Cholecystectomy","NCT05936918","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT05936918 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS in laparoscopic cholecystectomy","Control","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:44:43.471Z","none","NCT05936918."
"450","1564","Combined electro-acupuncture with liver artery intubation in treatment of massive liver cancer","Xin","2002","English","yes","No","EXCLUDE_NON_SURGICAL","Patients with massive liver cancer received EA, liver-artery intubation chemotherapy, or the combination as cancer treatment.","Non-operative treatment with active/inseparable comparators and unclear randomization.","high","primary_results","yes","no","unclear","EA with or without liver-artery chemotherapy","Active chemotherapy","no","not_applicable","no","no","","yes","no","no","no","yes","2026-07-26T11:44:44.364Z","none",""
"451","1630","Effects of transcutaneous electrical acupoint stimulation (TEAS) on prevention of intraoperative hypothermia: a randomized controlled double-blind trial","ChiCTR1800015915","2018","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR1800015915 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:23.940Z","none","ChiCTR1800015915"
"452","1631","Effects of transcutaneous electrical acupoint stimulation on postoperative delirium in elderly patients undergoing carotid endarterectomy: a randomized controlled study","ChiCTR2300076868","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2300076868 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:24.689Z","none","ChiCTR2300076868"
"453","1632","Influence of perioperative transcutaneous electrical acupoint stimulation on the outcomes of patients with off-pump coronary artery bypass graft surgery","ChiCTR-TRC-14004787","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-TRC-14004787 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:27.843Z","none","ChiCTR-TRC-14004787"
"454","1633","Effect of transcutaneous electrical acupoint stimulation on postoperative nausea and vomiting after laparoscopic surgery under general anesthesia in elderly patients","ChiCTR2000039554","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2000039554 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:31.001Z","none","ChiCTR2000039554"
"455","1634","Efficacy of transcutaneous electrical acupoint stimulation in prevention and treatment of chronic pain after breast cancer surgery","ITMCTR2022000022","2022","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2022000022 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:34.181Z","none","ITMCTR2022000022"
"456","1636","The Impact of Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Anxiety in Surgical Patients: a Prospective Multicenter Randomized Controlled Trial","ITMCTR2025000195","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025000195 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:37.334Z","none","ITMCTR2025000195"
"457","1637","Transcutaneous electrical acupoint stimulation reduces postoperative nausea and vomiting in female patients undergoing bariatric surgery: a prospective, randomized, controlled trial","ChiCTR2000037785","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2000037785 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:40.482Z","none","ChiCTR2000037785"
"458","1638","Effect of transcutaneous electrical acupoint stimulation on optic nerve sheath diameter in patients with head-down position during operation","ChiCTR2400083489","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400083489 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:43.633Z","none","ChiCTR2400083489"
"459","1639","Effects of transcutaneous electrical acupoint stimulation on perioperative anxiety and quality of recovery in obese patients undergoing laparoscopic bariatric surgery","ChiCTR2500098328","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500098328 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:46.780Z","none","ChiCTR2500098328"
"460","1640","Efficacy and safety of transcutaneous electrical acupoint stimulation (TEAS) combined with patient-controlled epidural analgesia (PCEA) for labour analgesia","JPRN-UMIN000050983","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","JPRN-UMIN000050983 is a trial-registration record without participant results.","Trial registration without results; labor analgesia is non-operative and lacks general anaesthesia.","high","trial_registration","no","no","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:49.940Z","none","JPRN-UMIN000050983"
"461","1641","The anaesthesia effects and mechanisms of transcutaneous electrical acupoint stimulation during oocyte aspiration in-vitro fertilization","ChiCTR-TRC-13003952","2013","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-TRC-13003952 is a trial-registration record without participant results.","Trial registration without results; oocyte aspiration is non-operative and lacks general anaesthesia.","high","trial_registration","no","no","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:53.101Z","none","ChiCTR-TRC-13003952"
"462","1642","Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Urinary Retention After Radical Surgery for Cervical Cancer: a Prospective Randomized Controlled Trial","ITMCTR2025002091","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025002091 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:56.253Z","none","ITMCTR2025002091"
"463","1643","Effect of transcutaneous electrical acupoint stimulation on perioperative anxiety depression and delirium in patients with Meige syndrome: a randomized controlled study","ITMCTR2025000559","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025000559 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:45:59.420Z","none","ITMCTR2025000559"
"464","1644","A randomized controlled study on the prevention of postoperative urinary retention in patients with mixed hemorrhoids by transcutaneous electrical acupoint stimulation","ChiCTR2600123116","2026","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2600123116 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:02.569Z","none","ChiCTR2600123116"
"465","1645","Transcutaneous electrical acupoint stimulation improves postoperative sleep in patients with gastrointestinal tumors by regulating Nrf2/ARE signaling pathway","ChiCTR2100054971","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2100054971 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:05.737Z","none","ChiCTR2100054971"
"466","1646","Effects of dexamethasone combined with auricular plaster therapy and transcutaneous electrical acupoint stimulation on rebound pain after peripheral nerve block","ITMCTR2024000834","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2024000834 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS plus auricular plaster therapy and dexamethasone","Planned control/sham","unclear","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T11:46:08.900Z","none","ITMCTR2024000834"
"467","1647","Transcutaneous Electrical Acupoint Stimulation for Prevention of Postoperative Nausea and Vomiting in Female Patients Receiving iv-PCA","Kim","2001","English","no","Maybe","UNCERTAIN_RANDOMIZATION","Journal article title identifies TEAS for postoperative PONV in female surgical patients receiving IV-PCA, but no abstract reports operation, anaesthesia, comparator or allocation.","A potentially eligible perioperative TEAS trial cannot be excluded from title alone.","low","primary_results","yes","unclear","unclear","Postoperative TEAS","Unclear","unclear","not_applicable","unclear","yes","","yes","no","yes","no","yes","2026-07-26T11:46:10.107Z","none",""
"468","1648","Effect of Transcutaneous Electrical Stimulation at Neiguan Acupoint on Reducing Oculocardiac Reflex in Children Undergoing Strabismus Surgery","ITMCTR2025002380","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025002380 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:10.980Z","none","ITMCTR2025002380; pediatric population"
