"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"344","453","Pretreatment with transcutaneous electrical acupoint stimulation to prevent postoperative ileus in patients undergoing laparoscopic colon surgery: study protocol for a randomised controlled trial.","Wang","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit randomized study protocol with planned outcomes only.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","TEAS","sham TEAS","not applicable","not applicable","yes; preoperative sessions","planned only","no","no","yes","2026-07-27T08:45:54.835Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"345","454","Effectiveness and safety of polydioxanone thread-embedding acupuncture (TEA) and electroacupuncture (EA) treatment for knee osteoarthritis (KOA) patients with postoperative pain: An assessor-blinded, randomized, controlled pilot trial.","Lee","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The abstract describes a future randomized trial and reports no participant results; the planned intervention also combines EA with excluded thread-embedding acupuncture.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","thread-embedding acupuncture plus EA","control","not applicable","no","remote persistent postsurgical pain","planned only","no","no","yes","2026-07-27T08:45:58.176Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"346","455","Using electroacupuncture to recover muscle strength in patients with knee osteoarthritis after total knee arthroplasty: a study protocol for a double-blinded, randomized, and placebo-controlled trial.","Xu","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit study protocol with planned outcomes and no participant results.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","EA","sham EA","not applicable","not applicable","no; baseline may be POD3 and later","planned only","no","no","yes","2026-07-27T08:46:25.134Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"347","456","Electroacupuncture Improves Cognition in Rats With Sepsis-Associated Encephalopathy.","Li","2020","English","yes","NO","EXCLUDE_ANIMAL","The experiment used rats undergoing cecal ligation and puncture.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA","sham EA and animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:46:26.219Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"348","457","GABAergic Inhibition of Spinal Cord Dorsal Horns Contributes to Analgesic Effect of Electroacupuncture in Incisional Neck Pain Rats.","Wang","2020","English","yes","NO","EXCLUDE_ANIMAL","The study used a rat incisional-neck-pain model.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:46:27.288Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"349","458","Impact of Electroacupuncture Stimulation on Postoperative Constipation for Patients Undergoing Brain Tumor Surgery.","Li","2020","English","yes","MAYBE","UNCERTAIN_TIMING","Brain-tumor surgery patients were randomized to EA, acupuncture, or no treatment, but the abstract does not state when postoperative EA began; initiation within 24 hours remains plausible.","Eligible EA contrast otherwise; timing unclear.","high","journal article; primary participant-results report","yes","7","1","timing","realistically expected for brain-tumor resection","yes","EA","no treatment; manual-acupuncture arm","yes for EA versus no treatment","yes","uncertain; postoperative initiation unstated","yes","no","no","yes","2026-07-27T08:46:28.377Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"350","459","Transcutaneous electrical acupuncture stimulation (TEAS) for gastrointestinal dysfunction in adults undergoing abdominal surgery: study protocol for a prospective randomized controlled trial.","Bai","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit prospective randomized study protocol with planned outcomes only.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","TEAS","sham TEAS","not applicable","not applicable","perioperative planned","planned only","no","no","yes","2026-07-27T08:46:29.428Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"351","460","Effect of Transcutaneous Electrical Acupoint Stimulation on One-Lung Ventilation-Induced Lung Injury in Patients Undergoing Esophageal Cancer Operation.","Zhao","2020","English","yes","YES","INCLUDE_ELIGIBLE","Esophageal-cancer surgery patients were randomized to TEAS or sham for 30 minutes before anesthesia induction, with outcomes reported.","Eligible randomized preoperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","yes; induction and one-lung ventilation","yes","TEAS","sham TEAS without stimulation","yes","yes","yes; 30 minutes preinduction","yes","no","no","yes","2026-07-27T08:47:22.034Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"352","461","A Malaysian retrospective study of acupuncture-assisted anesthesia in breast lump excision.","Ang","2020","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The study retrospectively reviewed 17 cases and had no randomized comparator.","Retrospective nonrandomized case series.","high","journal article; primary participant-results report","yes","4","0","","acupuncture-assisted/local anesthesia","no","needle electrostimulation","none","no","no comparator","yes; intraoperative","yes","no","no","yes","2026-07-27T08:47:25.415Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"353","462","Histopathological evaluation of the role of negative electrical charge on renal ischemia/reperfusion injuries on brain and heart tissues in rat.","Dehyadegari","2020","English","yes","NO","EXCLUDE_ANIMAL","The experiment used Sprague-Dawley rats undergoing renal ischemia/reperfusion surgery.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:47:27.463Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"354","464","Effect of Electroacupuncture on Postoperative Gastrointestinal Recovery in Patients Undergoing Thoracoscopic Surgery: A Feasibility Study.","Yang","2020","English","yes","YES","INCLUDE_ELIGIBLE","VATS segmentectomy/lobectomy patients were randomized to EA plus usual care or usual care, including sessions 24 hours before and 4 hours after surgery.","Eligible randomized perioperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","realistically expected for VATS lung resection","yes","needle EA","usual care","yes","yes","yes; preoperative and 4h postoperative","yes","no","no","yes","2026-07-27T08:47:29.449Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"355","465","[Effect of early electroacupuncture intervention on conscious state of patients after traumatic brain injury surgery].","Liu","2020","English","yes","MAYBE","UNCERTAIN_TIMING","Post-TBI-surgery patients were randomized to EA plus usual care or usual care, but the abstract does not state when the first daily EA session began; initiation within 24 hours remains plausible.","Eligible otherwise; first-session timing unclear.","high","journal article; primary participant-results report","yes","7","1","timing","realistically expected for TBI surgery","yes","EA","usual care","yes","yes","uncertain; described as early","yes","no","no","yes","2026-07-27T08:47:32.832Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"356","466","Opposing needling for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized, sham-controlled trial protocol.","Huang","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit randomized sham-controlled trial protocol without participant results.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","EA","sham EA","not applicable","not applicable","not applicable","planned only","no","no","yes","2026-07-27T08:47:34.071Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"357","467","Transcutaneous Electrical Acustimulation Improves Gastrointestinal Disturbances Induced by Transcatheter Arterial Chemoembolization in Patients With Liver Cancers.","Zhu","2020","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","TACE is an interventional radiology procedure normally performed with local anesthesia/sedation, and no general anesthesia is reported.","TACE without general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; not reported and TACE normally local/sedation","yes","TEAS","sham TEAS at non-acupoints","yes","yes","yes; POD0","yes","no","no","yes","2026-07-27T08:47:35.199Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"358","468","[Effect and safety of electroacupuncture analgesia at the latent stage of labor on the epidural analgesia].","Li","2020","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The setting was vaginal labor with epidural analgesia, not operative surgery under general anesthesia.","Labor analgesia without GA surgery.","high","journal article; primary participant-results report","yes","4","0","","no; epidural labor analgesia","yes","EA","sham EA and epidural-only","yes","yes","not surgical","yes","no","no","yes","2026-07-27T08:47:38.602Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"359","469","[Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane].","Huang","2020","English","yes","YES","INCLUDE_ELIGIBLE","Forty gynecologic/urologic procedure patients under explicit sevoflurane general anesthesia were randomized to TEAS from 10 minutes before induction through surgery or control.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit","yes","TEAS","general-anesthesia control","yes","yes","yes; preinduction through surgery","yes","no","no","yes","2026-07-27T08:47:39.756Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"360","470","[Effect of electroacupuncture on diaphragmatic function in patients with post-stroke tracheotomy].","Zhu","2020","English","yes","NO","EXCLUDE_NON_SURGICAL","EA was delivered as four-week rehabilitation for post-stroke tracheotomy patients, not an acute operative-surgery population.","Non-surgical rehabilitation population.","high","journal article; primary participant-results report","yes","3","0","","no acute surgery","yes","EA plus acupuncture","acupuncture/basic treatment","EA add-on separable","yes","no; chronic rehabilitation","yes","no","no","yes","2026-07-27T08:47:40.894Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"361","472","Combined effect of laser acupuncture and electroacupuncture in knee osteoarthritis patients: A protocol for a randomized controlled trial.","Wu","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit protocol without participant results; intervention also combines EA with excluded laser acupuncture.","Protocol without results.","high","study protocol","no","0","0","","not applicable","planned","EA plus laser acupuncture","EA plus sham laser","not applicable","not applicable","not applicable","planned only","no","no","yes","2026-07-27T08:48:25.300Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"362","473","Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.","Huang","2019","English","yes","YES","INCLUDE_ELIGIBLE","Laparoscopic colorectal resection patients were randomized to TEAS at ST36 from 30 minutes before anesthesia through surgery or control.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","realistically expected for laparoscopic colorectal resection","yes","TEAS at ST36","no-stimulation control","yes","yes","yes; preinduction through surgery","yes","no","no","yes","2026-07-27T08:48:26.460Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"363","474","Acupuncture attenuates postoperative inflammation in patients after craniotomy: A prospective, open-label, controlled trial.","Yang","2020","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The open-label controlled study does not report random assignment and the treatment package included acupuncture, EA, and intradermal acupuncture.","Nonrandomized inseparable acupuncture package.","high","journal article; primary participant-results report","yes","4","0","","realistically expected for craniotomy","no; allocated, not randomized","acupuncture plus EA plus intradermal acupuncture","routine care","yes","no","postoperative; exact first session unclear","yes","no","no","yes","2026-07-27T08:48:27.585Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"364","475","[Electroacupuncture of both single- and multi-acupoints promotes recovery of gastrointestinal function in laparoscopic cholecystectomy patients].","Qu","2020","English","yes","YES","INCLUDE_ELIGIBLE","Laparoscopic cholecystectomy patients under explicit general anesthesia were randomized to EA regimens or routine care, including preoperative and 4-hour postoperative sessions.","Eligible randomized perioperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit","yes","needle EA","routine care","yes","yes","yes; preoperative and 4h postoperative","yes","no","no","yes","2026-07-27T08:48:28.717Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"365","476","[Effect of low-frequency electrical acupoint stimulation on gastrointestinal motility function following radical gastrectomy in patients with gastric cancer].","He","2020","English","yes","YES","INCLUDE_ELIGIBLE","Radical gastrectomy patients were randomized factorially to surface low-frequency electrical acupoint stimulation beginning postoperative day 1, fast-track care, both, or conventional care.","Eligible randomized early-postoperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","realistically expected for radical gastrectomy","yes","surface low-frequency electrical acupoint stimulation/TEAS","conventional care and FTS","factorial separable contrasts","yes","yes; postoperative day 1","yes","no","no","yes","2026-07-27T08:48:32.058Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"366","478","[Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction].","Ding","2020","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized EA plus rehabilitation versus rehabilitation alone followed ACL reconstruction and appears to begin in the early postoperative period, but the anesthesia type is not reported and GA remains plausible.","Eligible otherwise; anesthesia type unclear.","high","journal article; primary participant-results report","yes","7","1","general anaesthesia","uncertain; ACL reconstruction may use GA or regional anesthesia","yes","EA plus rehabilitation","routine rehabilitation","yes","yes","likely early; outcomes include postoperative day 1","yes","no","no","yes","2026-07-27T08:48:35.421Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"367","479","Acupuncture-like Transcutaneous Electrical Nerve Stimulation for Pain, Function, and Biochemical Inflammation After Total Knee Arthroplasty.","Kim","2021","English","yes","NO","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","Acupuncture-like TENS was compared only with conventional TENS, without sham, usual-care, or no-stimulation control.","Ineligible active TENS comparator only.","high","journal article; primary participant-results report","yes","4","0","","not reported","yes","acupuncture-like TENS at selected points","conventional TENS","active comparator","yes","postoperative; start unstated","yes","no","no","yes","2026-07-27T08:48:36.577Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"368","480","Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and postoperative analgesia in minimally invasive lung cancer surgery: A randomized, double-blind, placebo-controlled trial.","Chen","2020","English","yes","YES","INCLUDE_ELIGIBLE","Thoracoscopic lung-cancer surgery patients under explicit general anesthesia were randomized to preinduction TEAS or sham TEAS.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit","yes","TEAS","sham TEAS","yes","yes","yes; before induction","yes","no","no","yes","2026-07-27T08:48:37.702Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"369","481","Electroacupuncture for postoperative pain after nasal endoscopic surgery: study protocol for a pilot randomized controlled trial.","Li","2020","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit randomized study protocol without participant results.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","EA","non-invasive sham","not applicable","not applicable","yes; preoperative and immediate postoperative","planned only","no","no","yes","2026-07-27T08:48:38.814Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"370","482","Effect of electroacupuncture on sedation requirements during colonoscopy: a prospective placebo-controlled randomised trial.","Eberl","2020","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The procedure was routine colonoscopy under explicit deep propofol/alfentanil sedation, not general anesthesia.","Colonoscopy under sedation.","high","journal article; primary participant-results report","yes","6","0","","no; deep sedation","yes","EA","sham/placebo acupuncture","yes","yes","yes; during colonoscopy","yes","no","no","yes","2026-07-27T08:48:42.155Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"371","483","The effect of TEAS on the quality of early recovery in patients undergoing gynecological laparoscopic surgery: a prospective, randomized, placebo-controlled trial.","Yu","2020","English","yes","YES","INCLUDE_ELIGIBLE","Gynecologic laparoscopic surgery patients were randomized to TEAS for 30 minutes before anesthesia or sham electrodes, with early recovery results.","Eligible randomized preoperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","anesthesia for gynecologic laparoscopy; GA realistically expected","yes","TEAS","sham electrodes without stimulation","yes","yes","yes; 30 minutes before anesthesia","yes","no","no","yes","2026-07-27T08:49:09.749Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"372","484","Effects of perioperative transcutaneous electrical acupoint stimulation on monocytic HLA-DR expression in patients undergoing coronary artery bypass grafting with cardiopulmonary bypass: study protocol for a double-blind randomized controlled trial.","Chen","2019","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit randomized study protocol without participant results.","Protocol without results.","high","study protocol","no","0","0","","not applicable","planned","TEAS","sham TEAS","not applicable","not applicable","not applicable","planned only","no","no","yes","2026-07-27T08:49:10.859Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"373","485","Pulmonary protection of transcutaneous electrical acupoint stimulation in gynecological laparoscopic surgery: A randomized controlled trial.","Wei","2019","English","yes","YES","INCLUDE_ELIGIBLE","Gynecological laparoscopic surgery patients were randomized to TEAS at recognized acupoints or no stimulation, with intraoperative and postoperative outcomes.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","ventilated gynecologic laparoscopy; GA realistically expected","yes","TEAS","no stimulation","yes","yes","yes; intraoperative","yes","no","no","yes","2026-07-27T08:49:11.933Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"374","486","Cough Suppression during Flexible Bronchoscopy Using Transcutaneous Electric Acupoint Stimulation: A Randomized Controlled Study.","Zhang","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Flexible bronchoscopy was performed with topical lidocaine, fentanyl, and midazolam sedation; general anesthesia is not reported and is not usual for this procedure.","Bronchoscopy without general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; sedation/topical anesthesia","yes","TEAS","no stimulation","yes","yes","yes; 30 minutes before procedure","yes","no","no","yes","2026-07-27T08:49:13.015Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"375","487","[Effect of acupoint stimulation on the quality of recovery in patients with radical thyroidectomy under the concept of enhanced recovery after surgery: a randomized controlled trial].","Jiang","2019","English","yes","NO","EXCLUDE_INSEPARABLE_INTERVENTION","The active arm combined eligible TEAS with explicitly excluded auricular point pressing using magnetic beads, so the independent TEAS effect cannot be separated.","TEAS inseparable from auricular intervention.","high","journal article; primary participant-results report","yes","6","0","","yes; explicit","yes","TEAS plus auricular point pressing","dual sham","yes","no","yes; preinduction through anesthesia","yes","no","no","yes","2026-07-27T08:49:16.336Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"376","488","Transcutaneous Electrical Acupoint Stimulation for Improving Postoperative Recovery, Reducing Stress and Inflammatory Responses in Elderly Patient Undergoing Knee Surgery.","Chi","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Knee surgery was performed under explicit epidural anesthesia, not general anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; epidural anesthesia","yes","TEAS","sham TEAS","yes","yes","yes; 30 minutes pre-anesthesia","yes","no","no","yes","2026-07-27T08:50:16.516Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"377","489","Efficacy of Acupuncture Combined with Local Anesthesia in Ischemic Stroke Patients with Carotid Artery Stenting: A Prospective Randomized Trial.","Xiong","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Carotid artery stenting was performed with explicit local anesthesia, not general anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; local anesthesia","yes","EA or TEAS","sham EA","yes","yes","yes; 30 minutes before through procedure","yes","no","no","yes","2026-07-27T08:50:17.683Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"378","491","Effectiveness of electroacupuncture for pain after osteosarcoma post surgery: A study protocol of systematic review of randomized controlled trial.","He","2019","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The record is a protocol for a systematic review, not a primary randomized trial.","Systematic-review protocol.","high","systematic review protocol","no","0","0","","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:50:19.620Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"379","492","[Effect of preemptive electroacupuncture on pain reactions in primiparous parturients during vaginal delivery].","Li","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The setting was vaginal delivery with epidural analgesia, not operative surgery under general anesthesia.","Labor analgesia without GA surgery.","high","journal article; primary participant-results report","yes","4","0","","no; epidural analgesia","yes","EA","sham EA/epidural","yes","yes","not surgical","yes","no","no","yes","2026-07-27T08:50:23.033Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"380","493","[Prewarming effect of transcutaneous acupoint electrical stimulation preconditioning in patients undergoing elective video-assisted thoracoscopic lobectomy].","Liang","2019","English","yes","YES","INCLUDE_ELIGIBLE","Eighty VATS lobectomy patients receiving total intravenous anesthesia were randomized to preoperative TEAS or sham electrodes.","Eligible randomized preoperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","yes; total intravenous anesthesia for lobectomy","yes","TEAS","sham electrodes without current","yes","yes","yes; 30 minutes preoperative","yes","no","no","yes","2026-07-27T08:50:24.242Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"381","494","Cardioprotective effect of transcutaneous electrical acupuncture point stimulation on perioperative elderly patients with coronary heart disease: a prospective, randomized, controlled clinical trial.","Li","2019","English","yes","YES","INCLUDE_ELIGIBLE","Older coronary-disease patients undergoing spinal surgery were randomized to TEAS from 30 minutes before anesthesia induction through surgery or sham electrodes.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","anesthesia induction for spinal surgery; GA realistically plausible","yes","TEAS","sham electrodes","yes","yes","yes; preinduction through surgery","yes","no","no","yes","2026-07-27T08:50:27.614Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"382","496","[Treatment of scapulohumeral periarthritis by Fuyang-pot warming combined with electroacupuncture stimulation].","Li","2019","English","yes","NO","EXCLUDE_NON_SURGICAL","The study treated scapulohumeral periarthritis conservatively, without operative surgery.","Non-surgical condition.","high","journal article; primary participant-results report","yes","2","0","","no","yes","EA with or without warming/moxibustion","active interventions","not relevant","standalone EA arm","not perioperative","yes","no","no","yes","2026-07-27T08:50:28.793Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"383","497","[Effect of transcutaneous electrical acupoint stimulation on pulmonary function and oxidative stress response in lower extremity surgery patients using tourniquet].","Zhuang","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Lower-extremity surgery was performed under explicit lumbar epidural plus block anesthesia, not general anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; lumbar epidural and block","yes","TEAS","minimal-current sham","yes","yes","yes; 30 minutes before through surgery","yes","no","no","yes","2026-07-27T08:50:29.924Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"384","498","[Protective effect and regulating effect on FXR/SHP gene of electroacupuncture preconditioning on myocardial ischemia-reperfusion injury in rats].","Li","2019","English","yes","NO","EXCLUDE_ANIMAL","The experiment used Wistar rats in a myocardial ischemia/reperfusion model.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:50:31.148Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"385","499","[Effect of electroacupuncture preconditioning combined with induced urination on urinary retention after milligan-morgan hemorrhoidectomy].","Long","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Hemorrhoidectomy used anesthesia at Yaoshu/GV2 rather than reported general anesthesia; this minor anorectal procedure is commonly regional/local.","No reported general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; local/caudal technique reported","yes","EA preconditioning","routine induced urination","yes","yes","yes; 30 minutes before surgery","yes","no","no","yes","2026-07-27T08:50:34.491Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"386","500","The use and protective effects of transcutaneous electrical acupoint stimulation during abdominal surgery: study protocol for a multicenter randomized parallel controlled trial.","Hou","2019","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit multicenter randomized study protocol with planned outcomes only.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","perioperative TEAS schedules","sham TEAS","not applicable","not applicable","not applicable","planned only","no","no","yes","2026-07-27T08:51:26.952Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"387","501","Changes in the Serum Metabolome of Acute Myocardial Ischemia Rat Pretreatment with Electroacupuncture.","Zhang","2019","English","yes","NO","EXCLUDE_ANIMAL","The experiment used male Sprague-Dawley rats in a myocardial infarction model.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA pretreatment","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:51:30.362Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"388","502","Correction: Application of electroacupuncture for postoperative pain management after total knee arthroplasty: a study protocol for a single-blinded, randomised placebo-controlled trial.","Unknown","2019","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The record is explicitly a correction notice to a study protocol, without participant results.","Correction notice.","high","correction notice","no","0","0","","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:51:48.803Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"389","504","[Effect of auricular point pressing combined with electroacupuncture on postoperative pain and inflammatory cytokines in children with hernia].","Fu","2019","English","yes","NO","EXCLUDE_POPULATION","The randomized population consisted of children, whereas the review requires adults aged 18 years or older.","Pediatric population.","high","journal article; primary participant-results report","yes","4","0","","not reported","yes","EA; auricular pressing; combination","active excluded interventions only","no eligible inactive comparator","standalone EA arm","post-awakening","yes","no","no","yes","2026-07-27T08:51:49.963Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"390","505","The effects of two different electrical stimulation methods on the pain intensity of the patients who had undergone abdominal surgery with a midline incision: Randomized controlled clinical trial.","Oztas","2019","English","yes","MAYBE","UNCERTAIN_TIMING","Abdominal-surgery patients were randomized to TAES at recognized acupoints, TENS, or no treatment, but the abstract does not state when postoperative TAES began; initiation within 24 hours remains plausible.","Eligible TEAS contrast otherwise; timing unclear.","high","journal article; primary participant-results report","yes","7","1","timing","realistically expected for abdominal surgery with midline incision","yes","TAES/TEAS","no-treatment control; TENS arm","yes for TEAS versus control","yes","uncertain; postoperative timing unstated","yes","no","no","yes","2026-07-27T08:51:52.003Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"391","506","Efficacy of different-frequency TEAS on acute pain after the total knee arthroplasty: a study protocol for a parallel group randomized trial.","Li","2019","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit randomized trial protocol with planned outcomes; treatment begins POD3, also outside the eligible window.","Protocol without participant results.","high","study protocol","no","0","0","","not applicable","planned","TEAS frequencies","placebo TEAS","not applicable","not applicable","no; starts POD3","planned only","no","no","yes","2026-07-27T08:51:53.166Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
