change_id,study,source_audit_batch,change_type,sheet,old_value_or_status,new_value_or_status,outcome_family,outcome_result,timepoint,intervention,comparator,source_pdf,drive_link,page,table_or_figure,reason,analysis_impact,primary_model_impact,rob2_action,resolved_or_hold
V34-01254,Liu 2015,,UPDATED_EXISTING,Set_PONV,"{""excel_row"":50,""cells"":{""1"":""Song 2020"",""2"":""SONG20_TEAS_vs_SHAM_PONV24"",""3"":""Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions)"",""4"":""Active nonacupoint electrical stimulation with matched timing/frequency"",""5"":""Nausea and vomiting adverse event"",""6"":""0-24 h"",""8"":42,""9"":43,""10"":42,""11"":43,""17"":3,""23"":10,""24"":""participants with nausea/vomiting"",""25"":""0.039"",""26"":""RR"",""27"":0.3071428571428571,""29"":""Exact 0-24-h binary event counts with full group denominators."",""31"":""Binary effect measure (RR preferred per protocol)"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for PCA use rather than PONV"",""34"":""Song 2020"",""35"":""Primary active-sham comparator"",""36"":""Count Song 2020 once per synthesis."",""37"":""Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking."",""38"":""https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk"",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":50,""cells"":{""1"":""Liu 2015"",""2"":""LIU15_TEAS_vs_SHAM_VOMITPOD3"",""3"":""Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery)"",""4"":""No-current sham TEAS with identical electrode placement/device setup"",""5"":""Postoperative vomiting incidence"",""6"":""Postoperative day 3"",""8"":46,""9"":46,""10"":44,""11"":44,""17"":1,""23"":0,""24"":""participants with vomiting"",""25"":""NS overall; exact day-specific pairwise P not reported"",""26"":null,""27"":null,""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""34"":""Liu 2015"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""37"":""The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total."",""38"":""https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk"",""39"":""V33-OD-0298"",""40"":""Vomiting"",""41"":""TEAS"",""42"":""Sham"",""43"":""postoperative day 3""}}",,Postoperative vomiting incidence,Postoperative day 3,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01255,Oztas 2019,,UPDATED_EXISTING,Set_PONV,"{""excel_row"":51,""cells"":{""1"":""Szmit 2021"",""2"":""SZMIT21_TEAS_vs_SHAM_NAUSEA24"",""3"":""Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h"",""4"":""Sham TEAS: identical devices/placement with no electrical stimulation + PCA"",""5"":""Nausea incidence"",""6"":""Postoperative observation period; PCA/TEAS discontinued at 24 h"",""7"":""Events/total"",""8"":24,""9"":24,""10"":24,""11"":24,""17"":0,""23"":4,""24"":""participants with nausea"",""25"":""0.116 (3-group overall)"",""28"":""INCLUDE"",""29"":""Nausea events were recorded during the postoperative observation period; PCA/TEAS were discontinued at 24 h. Use events/denominators directly."",""31"":""Binary effect measure (RR preferred per protocol)"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for opioid consumption, not nausea"",""34"":""Szmit 2021"",""35"":""Primary sham-controlled nausea contrast"",""36"":""Count Szmit 2021 once in a nausea synthesis; do not add the PCA-only contrast independently."",""37"":""Zero TEAS events; overall 3-group P=.116 is not the pairwise effect estimate."",""38"":""https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk"",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":51,""cells"":{""1"":""Oztas 2019"",""2"":""OZT19_TAES_vs_CTRL_NAUSEA24"",""3"":""Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)"",""4"":""No electrical-stimulation intervention + standard PCA analgesia"",""5"":""Nausea severity"",""6"":""0-24 h"",""7"":""Qualitative / exact group values unavailable"",""8"":16,""9"":16,""10"":15,""11"":16,""17"":null,""23"":null,""24"":""VAS 1-10"",""25"":""No significant between-group difference; exact P/value not reported"",""28"":""HOLD"",""29"":""Nonstandard or incomplete statistic; no inferred quantities."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""34"":""Oztas 2019"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""37"":""Article states no significant group difference but does not provide group-specific nausea values in the main text/tables."",""38"":""https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk"",""39"":""V33-OD-0321"",""40"":""Nausea severity"",""41"":""MODALITY_REVIEW_REQUIRED"",""42"":""Usual care"",""43"":""0-24h""}}",,Nausea severity,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01256,Oztas 2019,,UPDATED_EXISTING,Set_PONV,"{""excel_row"":52,""cells"":{""1"":""Szmit 2021"",""2"":""SZMIT21_TEAS_vs_CTRL_NAUSEA24"",""3"":""Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h"",""4"":""PCA only / no TEAS"",""5"":""Nausea incidence"",""6"":""Postoperative observation period; PCA/TEAS discontinued at 24 h"",""7"":""Events/total"",""8"":24,""9"":23,""10"":24,""11"":23,""17"":0,""23"":2,""24"":""participants with nausea"",""25"":""0.116 (3-group overall)"",""28"":""CONDITIONAL"",""29"":""Valid nausea events, but this is the correlated PCA-only comparator from the same three-arm RCT."",""31"":""Binary effect measure (RR preferred per protocol)"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for opioid consumption, not nausea"",""34"":""Szmit 2021"",""35"":""Supportive/usual-care nausea comparator"",""36"":""Do not count independently if the sham contrast is selected."",""37"":""Three-arm RCT with shared TEAS arm."",""38"":""https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk"",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":52,""cells"":{""1"":""Oztas 2019"",""2"":""OZT19_TAES_vs_CTRL_VOMIT24"",""3"":""Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)"",""4"":""No electrical-stimulation intervention + standard PCA analgesia"",""5"":""Vomiting occurrence"",""6"":""0-24 h"",""7"":""Qualitative / exact group values unavailable"",""8"":16,""9"":16,""10"":15,""11"":16,""17"":null,""23"":null,""24"":""events/participants"",""25"":""No significant between-group difference; exact P/counts not reported"",""28"":""HOLD"",""29"":""Nonstandard or incomplete statistic; no inferred quantities."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""34"":""Oztas 2019"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""37"":""Article states no significant group difference but does not provide group-specific vomiting counts in the main text/tables."",""38"":""https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk"",""39"":""V33-OD-0322"",""40"":""Vomiting"",""41"":""MODALITY_REVIEW_REQUIRED"",""42"":""Usual care"",""43"":""0-24h""}}",,Vomiting occurrence,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01257,,,ADDED,Set_PONV,,"{""first_appended_excel_row"":53,""rows"":125,""sha256_appended_rows"":""cdc57702625aa45e320a9527de2bd8e4dd27dd17d6580d782e5b66710396d625""}",,,,,,,,,,Traceable regenerated append batch; values derive from Outcome_Data / preserved AF source layer.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01258,,,UPDATED_EXISTING,Set_QoR,"{""excel_row"":1,""cells"":{""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":1,""cells"":{""39"":""V34 record ID"",""40"":""V34 endpoint class"",""41"":""V34 modality"",""42"":""V34 comparator class"",""43"":""V34 time class""}}",,,,,,,,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01259,Yao 2015,,UPDATED_EXISTING,Set_QoR,"{""excel_row"":2,""cells"":{""28"":""INCLUDE — OTHER TIMEPOINT"",""29"":""Source-valid QoR endpoint outside the primary 24-h timepoint."",""31"":""None"",""32"":""High"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":2,""cells"":{""28"":""INCLUDE"",""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: High"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0008"",""40"":""QoR-40"",""41"":""TEAS"",""42"":""Sham"",""43"":""24 h point""}}",,Global QoR-40,24 h postoperatively,Preoperative TEAS,Control/no current,,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01260,Yu 2020,4,UPDATED_EXISTING,Set_QoR,"{""excel_row"":3,""cells"":{""28"":""CONDITIONAL — POD1"",""29"":""POD1 is approximately 24 h; pool only if allowed by protocol."",""31"":""None"",""32"":""High"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":3,""cells"":{""28"":""INCLUDE"",""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: High"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0009"",""40"":""QoR-40"",""41"":""TEAS"",""42"":""Sham"",""43"":""postoperative day 1 (~24h)""}}",,Global QoR-40,Postoperative day 1 (~24 h),Preoperative TEAS,Control/no current,s13063-019-3892-4.pdf,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01261,Zhou 2025,,UPDATED_EXISTING,Set_QoR,"{""excel_row"":4,""cells"":{""28"":""CONDITIONAL — POD1"",""29"":""POD1 is approximately 24 h; pool only if allowed by protocol."",""31"":""None"",""32"":""High"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":4,""cells"":{""28"":""INCLUDE"",""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: High"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0025"",""40"":""QoR-15"",""41"":""TEAS"",""42"":""Sham"",""43"":""pod1""}}",,Global QoR-15,POD1,PACU TEAS,Sham/no current,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01262,Chen 2015,,UPDATED_EXISTING,Set_QoR,"{""excel_row"":5,""cells"":{""28"":""INCLUDE"",""29"":""Valid QoR endpoint at the target recovery time."",""31"":""Use median/IQR-compatible meta-analysis method; do not relabel as mean/SD"",""32"":""High"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":5,""cells"":{""28"":""NARRATIVE ONLY"",""29"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: High"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0256"",""40"":""QoR-40"",""41"":""TEAS"",""42"":""Sham"",""43"":""24 h point""}}",,Global QoR-40,24 h,Preoperative TEAS,Electrodes/device with no stimulation,,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01263,,,ADDED,Set_QoR,,"{""first_appended_excel_row"":6,""rows"":19,""sha256_appended_rows"":""5a922e7b10da72a7c0a642dfb39819be874e597d3d918b1484f08fa3afdbc515""}",,,,,,,,,,Traceable regenerated append batch; values derive from Outcome_Data / preserved AF source layer.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01264,,,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":1,""cells"":{""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":1,""cells"":{""39"":""V34 record ID"",""40"":""V34 endpoint class"",""41"":""V34 modality"",""42"":""V34 comparator class"",""43"":""V34 time class""}}",,,,,,,,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01265,Yang 2020,1,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":2,""cells"":{""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""31"":""None"",""32"":""Some concerns"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":2,""cells"":{""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0002"",""40"":""GI — first flatus"",""41"":""EA"",""42"":""Usual care"",""43"":""from surgery to first flatus""}}",,Time to first postoperative flatus,From surgery to first flatus,EA + usual care,Usual care,covidence_464_verified.pdf,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01266,Pan 2023,1,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":3,""cells"":{""28"":""INCLUDE"",""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""31"":""Use median/IQR-compatible meta-analysis method; do not relabel as mean/SD"",""32"":""High"",""33"":""No — selected RoB matches this result"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":3,""cells"":{""28"":""NARRATIVE ONLY"",""29"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""EXISTING_RESULT_SPECIFIC: High"",""33"":""No — exact existing result link"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0010"",""40"":""GI — first flatus"",""41"":""TEAS"",""42"":""Usual care"",""43"":""postoperative recovery endpoint""}}",,Time to first postoperative flatus,Postoperative recovery endpoint,TEAS,Control/usual care,getfile.php-4.pdf,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01267,Zhou 2025,,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":4,""cells"":{""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""31"":""None"",""32"":""High"",""33"":""Yes — selected RoB is for a different result/timepoint"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":4,""cells"":{""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0028"",""40"":""GI — first flatus"",""41"":""TEAS"",""42"":""Sham"",""43"":""postoperative""}}",,Time to first flatus,Postoperative,PACU TEAS,Sham/no current,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01268,Yang 2024,,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":5,""cells"":{""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""31"":""None"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for a different result/timepoint"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":5,""cells"":{""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0053"",""40"":""GI — first flatus"",""41"":""EA"",""42"":""Usual care"",""43"":""postoperative""}}",,Time to first flatus,Postoperative,Perioperative EA + usual care,Usual care,,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01269,Yang 2024,,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":6,""cells"":{""28"":""INCLUDE — SECONDARY GI"",""29"":""Source-valid GI recovery outcome; analyze separately by outcome definition."",""31"":""None"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for a different result/timepoint"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":6,""cells"":{""28"":""INCLUDE"",""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0054"",""40"":""GI — first defecation"",""41"":""EA"",""42"":""Usual care"",""43"":""postoperative""}}",,Time to first defecation,Postoperative,Perioperative EA + usual care,Usual care,,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01270,Xing 2022,,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":7,""cells"":{""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""30"":null,""31"":""None"",""32"":""Some concerns"",""33"":""Yes — selected RoB is for a different result/timepoint"",""35"":""Shared-control / multi-arm contrast"",""36"":""Shared comparator present; avoid double-counting controls."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":7,""cells"":{""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""30"":""Xing 2022"",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0062"",""40"":""GI — first flatus"",""41"":""TEAS"",""42"":""Sham"",""43"":""postoperative""}}",,Time to first flatus,Postoperative,TEAS + active TAPB,Sham TEAS + active TAPB,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
V34-01271,Wang 2023,2,UPDATED_EXISTING,Set_GI_Recovery,"{""excel_row"":8,""cells"":{""29"":""Source-valid first-flatus/ileus endpoint; retain reported distribution (mean/SD, median/IQR, or events)."",""31"":""None"",""32"":""High"",""33"":""Yes — selected RoB is for a different result/timepoint"",""35"":""Primary eligible contrast"",""36"":""Count this study once per synthesis unless a valid multi-arm method is used."",""39"":null,""40"":null,""41"":null,""42"":null,""43"":null}}","{""excel_row"":8,""cells"":{""29"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""31"":""No new imputation, digitization, median conversion or proxy MME"",""32"":""ROB2_RESULT_SPECIFIC_PENDING"",""33"":""Yes"",""35"":""Native secondary candidate / hold; see status"",""36"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""39"":""V33-OD-0082"",""40"":""GI — first flatus"",""41"":""TEAS"",""42"":""Sham"",""43"":""postoperative""}}",,Time to first flatus,Postoperative,Nighttime TEAS,Sham/no current,s40122-023-00493-2.pdf,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,,,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Rebuilt current view / provenance; consult row IDs and native analysis manifest,None — strict primary k=7 and numerical results unchanged,No new automatic RoB judgments,TRACEABLE UPDATE
