screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,10.3389/fneur.2025.1668610,ChiCTR-INR-17012951,INCLUDE,not_applicable,no,yes,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,primary randomized participant-results report,yes,yes,Computer/R-generated 1:1 allocation,yes; age >65,608,592,China,Elective orthopedic surgery,yes,mixed; some participants received spinal anaesthesia,"Propofol/remifentanil GA; lower-limb procedures could receive spinal anaesthesia, with GA plus regional block when spinal was contraindicated; upper-limb procedures received GA plus brachial plexus block.",TEAS,Surface-electrode TEAS at bilateral ST36-LR3 and LI4-PC6 twice daily for three preoperative days plus 30 min starting 30 min before induction.,"Bilateral ST36, LR3, LI4 and PC6",2/100 Hz dispersed-dense,Maximum tolerable,30 min per session,yes,yes,3 days preoperatively,yes,7,Visually identical modified device with no current on same schedule,yes,yes,Postoperative delirium through day 5; cognition; sleep; pain; inflammatory/brain-injury biomarkers,yes; postoperative sufentanil PCIA and rescue pethidine described,unclear,yes,no,unclear,no,ChiCTR-INR-17012951,"[""PDF p.2, Methods/Participants: prospective randomized trial in adults >65 undergoing elective orthopedic surgery."",""PDF p.3, Intervention: bilateral ST36/LR3/LI4/PC6 TEAS 2/100 Hz, maximum tolerable intensity, seven 30-min preoperative sessions versus no-current sham."",""PDF p.3, Anaesthesia: mixed spinal and general anaesthesia depending on surgical site; no outcome stratification by anaesthetic technique reported."",""PDF p.3, Endpoints: postoperative delirium through day 5 plus cognitive, sleep and pain outcomes."",""PDF p.4, Results: 608 randomized and 592 analyzed.""]","Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:01:35+02:00,none,Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.
12,86,Effects of transcutaneous electrical acupoint stimulation on recovery after internal spinal fixation: a randomised controlled trial.,Zhang,2025,10.1186/s12871-025-03471-x,ITMCTR2025000399,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Random-number table,yes; ages 19-78,74,74,China,Elective internal spinal-fixation surgery,yes,yes,"Sufentanil, propofol, remifentanil and rocuronium induction with endotracheal intubation; propofol/remifentanil maintenance.",TEAS,"Electrodes at PC6, LI4 and ST36; 2/100 Hz, 8-12 mA, continuous from 30 min before induction to end of surgery.","PC6, LI4 and ST36",2/100 Hz,8-12 mA,30 min before induction through end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Same electrode pads with no electrical stimulation,yes,yes,QoR-15 at 24 and 72 h; remifentanil and propofol; postoperative opioid consumption; time to first PCA; nausea/vomiting; adverse reactions; stay and satisfaction,yes,not separately; 72-h total,yes; analgesic use/time to first PCA,yes,yes,no,ITMCTR2025000399,"[""PDF p.2, Study protocol/Anaesthesia: randomized 74 adults to TEAS-assisted GA versus GA alone; endotracheal intubation and mechanical ventilation."",""PDF p.3, Intervention: PC6/LI4/ST36 TEAS 2/100 Hz, 8-12 mA from 30 min pre-induction through surgery versus no-current pads."",""PDF p.3, Outcomes/Results: QoR-15, intraoperative anaesthetic dose, postoperative PCA/opioid consumption, nausea/vomiting and adverse reactions with participant results.""]",Eligible randomized adult surgical TEAS trial under endotracheal general anaesthesia with inactive-electrode control and clinical recovery/opioid outcomes.,yes; Covidence-hosted 6-page PDF,yes,2026-08-09T15:01:35+02:00,none,none
13,89,Impact of transcutaneous electrical acupoint stimulation on postoperative recovery in older adults following pterygium excision: a prospective randomized controlled trial.,Wu,2025,10.3389/fneur.2025.1631005,ChiCTR2200056062,EXCLUDE,EXCLUDE_NO_GENERAL_ANAESTHESIA,yes,no,,primary randomized participant-results report,yes,yes,Computer-based completely random grouping with sealed opaque envelopes,yes; ages 65-85,110,110,China,Unilateral pterygium excision with keratoplasty,yes,no,Local infiltration anaesthesia by subconjunctival lidocaine injection; no general anaesthesia described.,TEAS,"Surface electrodes at bilateral LI4 and PC6, 2/100 Hz, 4-12 mA from 30 min before surgery through the procedure.",Bilateral LI4 and PC6,2/100 Hz,"4-12 mA, gradually increased to maximum tolerated",30 min preoperatively through end of surgery,yes,yes,30 min before surgery,yes,1,Identical electrodes/device with no electrical current,yes,yes,QoR-40; postoperative pain; anxiety,no,no,yes,no,unclear,no,ChiCTR2200056062,"[""PDF p.2, Methods: 110 adults aged 65-85 undergoing unilateral pterygium excision were randomized by computer with sealed opaque envelopes."",""PDF p.3, Standardized surgery: the operative field received local infiltration anaesthesia via subconjunctival lidocaine injection; no GA technique is described."",""PDF p.3, Intervention/Measurements: bilateral LI4/PC6 TEAS 2/100 Hz, 4-12 mA from 30 min before surgery to end; QoR-40 and pain outcomes.""]",Definite exclusion: the full-text surgical protocol establishes local infiltration anaesthesia for pterygium excision without general anaesthesia.,yes; Covidence-hosted 8-page PDF,yes,2026-08-09T15:03:20+02:00,Covidence reason selected: Wrong setting (mapped to EXCLUDE_NO_GENERAL_ANAESTHESIA).,Stopped at the first definitive exclusion criterion in the hierarchy.
14,115,Efficacy of Transcutaneous Electrical Acupoint Stimulation Applied During the Post-Anesthesia Recovery Period in Improving Postoperative Recovery Quality After Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.,Zhou,2025,10.2147/TCRM.S507856,ChiCTR2200055338,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 sequence with sequentially numbered sealed opaque envelopes,yes; ages 18-65,100,97,China,Elective gynecological laparoscopic surgery,yes,yes,"Standard GA with endotracheal intubation; etomidate, sufentanil, cisatracurium and midazolam induction; propofol/remifentanil and sevoflurane maintenance.",TEAS,"PACU surface-electrode TEAS at bilateral LI4, PC6, ST36 and SP6 using SDZ-II, 2/10 Hz, 10-15 mA for 30 min.","Bilateral LI4, PC6, ST36 and SP6",2/10 Hz dense-disperse,10-15 mA at strong but comfortable De Qi intensity,30 min,yes,yes,"In PACU after vital signs stabilized, immediately after surgery",yes,1,Identical protocol and electrodes with no electrical current,yes,yes,QoR-15 POD1-3; pain; rescue analgesic use; PONV; awakening/extubation/flatus/ambulation; adverse events,yes; rescue analgesic requirement,unclear; rescue use aggregated over 3 days,yes,yes,yes,no,ChiCTR2200055338,"[""PDF p.3 / printed p.1177, Randomization/Anaesthesia: computer sequence with sealed opaque envelopes; all patients received endotracheal GA and were transferred intubated to PACU."",""PDF pp.3-4 / printed pp.1177-1178, Intervention: bilateral LI4/PC6/ST36/SP6 TEAS 2/10 Hz, 10-15 mA for 30 min in PACU versus no-current sham."",""PDF p.4 / printed p.1178, Outcomes: QoR-15, postoperative pain/analgesic use, PONV, recovery times and adverse events."",""PDF pp.5-8, Results: 97 participants completed and were analyzed.""]",Eligible randomized adult laparoscopic surgical TEAS trial under endotracheal GA; stimulation began in PACU well within 24 h and clinical recovery outcomes were reported.,yes; Covidence-hosted 12-page PDF,yes,2026-08-09T15:07:22+02:00,none,Post-anesthesia TEAS session is eligible under the within-24-hours timing rule.
15,122,Transcutaneous Electrical Acupoint Stimulation (TEAS) Facilitates Postoperative Recovery in Day Lung Cancer Surgery: A Randomized Controlled Trial.,Wu,2025,10.2147/JPR.S529193,ChiCTR2200066600,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated random-number list with concealed serial allocation,yes; ages 18-70,100,100,China,Day thoracoscopic lung-cancer surgery,yes,yes,"Sufentanil, propofol and rocuronium induction; endotracheal intubation, one-lung ventilation and BIS 40-60; propofol/remifentanil maintenance plus thoracic paravertebral block.",TEAS,"Bilateral LI4 and PC6 surface-electrode TEAS in PACU, 2 and 10 Hz, 12-20 mA for 30 min immediately upon arrival.",Bilateral LI4 and PC6,2 and 10 Hz,12-20 mA,30 min,yes,yes,Immediately upon PACU arrival under residual anaesthesia,yes,1,Same acupoint electrodes without electrical stimulation,yes,yes,"Pain at 1, 12 and 24 h; analgesic consumption; PONV through 24 h; QoR-15; length of stay; safety",yes,yes,yes,yes,yes,no,ChiCTR2200066600,"[""PDF p.2, Methods: randomized 100 adult thoracic-surgery patients by computer-generated list to PACU TEAS or sham."",""PDF p.3 / printed p.3019, Anaesthesia: endotracheal intubation, one-lung ventilation, propofol/remifentanil GA and paravertebral block."",""PDF p.3 / printed p.3019, Intervention/Outcomes: bilateral LI4/PC6 TEAS 2/10 Hz, 12-20 mA for 30 min immediately on PACU arrival; pain, analgesic consumption, PONV, QoR-15, stay and safety."",""PDF pp.4-7, Results: intention-to-treat participant outcomes.""]","Eligible randomized adult day-lung-surgery TEAS trial under intubated GA with immediate PACU stimulation, inactive sham and clinical pain/opioid/PONV outcomes.",yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:07:22+02:00,none,Paper text calls Hegu LI14 in one place; standard Hegu designation is LI4 and citation title/table use LI4.
16,127,"Does perioperative electroacupuncture reduce the incidence of atrial fibrillation after lung cancer surgery? A randomized, controlled, assessor-blinded clinical trial.",Zhou,2025,10.3389/fmed.2025.1565359,ChiCTR2100047499,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,"Random allocation with concealed group assignments; participant, outcome-assessor and statistician blinding",yes,81,81,China,Lung-cancer resection,yes,yes,"General intravenous anaesthesia with propofol, atracurium and sufentanil; double-lumen endotracheal intubation and mechanical one-lung ventilation; propofol/remifentanil maintenance.",EA,"Inserted needles at surgical-side PC6, HT7, LI4 and SJ5 connected to SDZ-III; 2/100 Hz, 5 mA for 30 min starting 30 min before induction through surgery, repeated at 24 and 48 h.","Surgical-side PC6, HT7, LI4 and SJ5",2/100 Hz sparse-dense,5 mA peak,30 min pre-induction through surgery; two 30-min postoperative sessions,yes,yes,30 min before anaesthesia induction,yes,3,Nonpenetrating sham needles at same points with device light but no current,yes,yes,Postoperative atrial fibrillation within 72 h; pain at 12 and 72 h; postoperative adverse reactions; acupuncture adverse events,yes; perioperative anaesthetic/opioid doses and PCIA described,no,yes,yes,yes,no,ChiCTR2100047499,"[""PDF p.2, Methods: randomized assessor-blinded lung-cancer trial; EA/sham treatment 30 min before induction through surgery and repeated at 24 and 48 h."",""PDF p.3, Intervention: inserted PC6/HT7/LI4/SJ5 needles with SDZ-III 2/100 Hz, 5 mA versus nonpenetrating no-current sham."",""PDF pp.3-4, Anaesthesia: general intravenous anaesthesia with double-lumen endotracheal intubation, mechanical ventilation and propofol/remifentanil maintenance."",""PDF pp.4-6, Outcomes/Results: 81 randomized; POAF, pain and adverse-event participant results.""]",Eligible randomized needle-based EA trial in adult lung-cancer surgery under intubated GA with inactive sham and clinical arrhythmia/pain/adverse-event outcomes.,yes; Covidence-hosted 8-page PDF,yes,2026-08-09T15:07:22+02:00,none,"Flow diagram indicates 81 randomized, despite 90 initially assessed."
17,131,"Electroacupuncture for recovery of gastrointestinal function after laparoscopic hysterectomy surgery: a prospective, randomized, controlled trial.",Huang,2025,10.62347/WNTO7078,MR-51-24-038798,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Centralized computer-generated 1:1 randomization by independent statistician,yes; women ages 35-75,101,88,China,Laparoscopic hysterectomy with or without salpingo-oophorectomy/salpingectomy,yes,yes,Eligibility explicitly required laparoscopic hysterectomy under general anesthesia; detailed drug/airway technique not reported.,EA,"Inserted bilateral needles at ST36, ST37 and ST39 connected to G6805-I device; 2 Hz, 0.5-2.0 mA for 30 min at 3-5 h postoperatively and twice on postoperative day 1.","Bilateral ST36, ST37 and ST39",2 Hz continuous,"0.5-2.0 mA, maximum tolerated",30 min per session,yes,yes,3-5 h after surgery,yes,3,Identical standard postoperative/ERAS care without EA,yes,yes,Time to flatus and defecation; stay; analgesic use; vomiting/bowel obstruction; pain; I-FEED; QoR-40; complications/adverse events,yes; additional analgesic use,yes; rescue ketorolac within 24 h,yes,yes; vomiting,yes,no,MR-51-24-038798,"[""PDF p.2 / printed p.2744, Methods: women 35-75 scheduled for laparoscopic hysterectomy under general anesthesia; centralized computer randomization."",""PDF p.3 / printed p.2745, Intervention: inserted bilateral ST36/ST37/ST39 needles with 2 Hz, 0.5-2.0 mA electrical current, first at 3-5 h after surgery and twice on POD1; control received the same postoperative care without EA."",""PDF pp.3-4 / printed pp.2745-2746, Outcomes/Results: GI recovery, pain/rescue treatment, QoR-40, stay and adverse events; 101 randomized and 88 completed outcome measurements.""]",Eligible randomized postoperative EA trial after laparoscopic hysterectomy under explicitly stated GA; first treatment at 3-5 h and multiple clinical recovery outcomes.,"yes; publisher PDF reached from Covidence LibKey link, 11 pages",yes,2026-08-09T15:09:11+02:00,LibKey landing page did not render the file directly; DOI resolver provided the publisher PDF without authentication.,"No detailed GA drug/airway protocol, but inclusion criteria explicitly state general anesthesia."
18,135,Efficacy and safety of transcutaneous electrical acupoint stimulation for preoperative anxiety in thoracoscopic surgery: a randomized controlled trial.,Zhang,2025,10.3389/fmed.2025.1527993,NCT04887090,EXCLUDE,EXCLUDE_NO_GENERAL_ANAESTHESIA,yes,no,,primary randomized participant-results report,yes,yes,Random sequence in sealed confidential envelopes; 1:1 allocation,yes,82,82,China,Non-intubated single-port video-assisted thoracoscopic pulmonary resection,yes,no,"Dexmedetomidine-based monitored sedation with small opioid boluses, BIS 60-80; patients remained responsive to commands. General anaesthesia/endotracheal intubation was only a rescue conversion criterion.",TEAS,"Surface-electrode TEAS at DU20, EX-HN3, bilateral LI4 and LR3 for 30 min daily on three days before VATS, 2/100 Hz, starting at 1 mA and increasing to maximum tolerated.","DU20, EX-HN3, bilateral LI4 and LR3",2/100 Hz,From 1 mA to maximum tolerated,30 min daily for 3 days before surgery,yes,yes,3 days before surgery,yes,3,Same acupoints and procedures with current set to 0 mA,yes,yes,Preoperative anxiety; intraoperative anaesthetic consumption; postoperative pain/analgesic consumption; chest-tube removal; length of stay; safety,yes; pethidine within 72 h,no,yes,no,yes,no,NCT04887090,"[""PDF p.4, Standard treatment protocol: dexmedetomidine and opioid sedation targeted Ramsay 3/BIS 60-80 while responsive to commands; conversion to GA/intubation only if instability, hypoxemia or surgical difficulty occurred."",""PDF p.4, Intervention: three preoperative 30-min DU20/EX-HN3/LI4/LR3 TEAS sessions, 2/100 Hz versus 0-mA sham."",""PDF p.5, Outcomes/Results: anxiety plus clinical pain, analgesic use, chest-tube removal, stay and safety results.""]","Definite exclusion: the full-text protocol establishes monitored responsive sedation for the study population; general anaesthesia with intubation was a rescue conversion, not the planned anaesthetic.",yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:09:11+02:00,Covidence reason selected: Wrong setting (mapped to EXCLUDE_NO_GENERAL_ANAESTHESIA).,Stopped at the first definitive exclusion criterion in the hierarchy.
19,137,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,Cai,2025,10.1245/s10434-025-17239-3,ChiCTR2100050660,INCLUDE,not_applicable,no,yes,General anaesthesia was not explicitly stated and airway/anaesthetic technique was not described; laparoscopic radical gastrectomy strongly suggests GA but is not sufficient for definitive classification without human adjudication.,primary randomized participant-results report,yes,yes,Independent random-number sequence with opaque sealed envelopes; 1:1 block randomization,yes; age >18,101,98,China,Laparoscopic radical gastrectomy for gastric cancer,yes,unclear,"Standardized ERAS described minimum-dose anesthesia and balanced narcotic/pain-medication use, but did not specify general anaesthesia, airway management or ventilation.",EA,"Inserted bilateral needles at ST36, SP6 and LI4 connected to SDZ-V; 10 Hz, 2-5 mA for 30 min at 2 h after surgery and mornings of the first 2 postoperative days.","Bilateral ST36, SP6 and LI4",10 Hz continuous,"2-5 mA, tolerable range",30 min per session,yes,yes,2 h after surgery,yes,3,Same needle procedure and electrodes with no current,yes,yes,First flatus/oral feeding/bowel-sound recovery; postoperative stay; complications; acupuncture adverse events,no; background narcotic use stated balanced,no,no,no,yes,no,ChiCTR2100050660,"[""PDF p.2 / printed p.5166, Methods: randomized adult laparoscopic radical-gastrectomy trial; anaesthetic technique not specified."",""PDF p.3 / printed p.5167, Intervention: inserted bilateral ST36/SP6/LI4 needles with SDZ-V 10 Hz, 2-5 mA for 30 min versus same procedure without current."",""PDF p.1 abstract and PDF pp.3-4, Timing/Outcomes: first EA 2 h after surgery, repeated on first two mornings; GI recovery, stay, complications and adverse events; 101 randomized/98 analyzed.""]","Randomized adult operative EA trial with eligible timing, comparator and clinical GI outcomes; retained with human-review flag because the full text does not explicitly establish general anaesthesia.","yes; publisher PDF reached from Covidence LibKey link, 22 pages",yes,2026-08-09T15:09:11+02:00,LibKey landing page did not render; publisher PDF was obtained through the DOI-linked Springer URL without authentication.,Sensitivity-first retention; NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported.
20,141,Effect of single or multi-period use of transcutaneous acupoint electrical stimulation on postoperative nausea and vomiting in patients undergoing gynecological laparoscopic surgery: a prospective randomized double-blind trial.,Jin,2025,10.1186/s12906-025-04847-5,ChiCTR2200065802,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1:1 sequence with sealed opaque sequentially numbered envelopes,yes,120,120,China,Gynecological laparoscopic surgery,yes,yes,"Propofol, midazolam, sufentanil and cisatracurium induction; tracheal intubation and mechanical ventilation; sevoflurane plus propofol/remifentanil maintenance.",TEAS,"Surface electrodes at PC6 and LI4; 2/100 Hz, 6-10 mA, 30 min per period. Single-period arm before anaesthesia; multi-period arm before anaesthesia, immediately after surgery and 2 h later.",PC6 and LI4,2/100 Hz dense-disperse,"6-10 mA, maximum tolerated",30 min per period,yes,yes,Before anaesthesia,yes,1 or 3 depending on arm,Same acupoints/device with output wires cut and no current,yes,yes; both active arms independently compared with no-current control,PONV frequency/severity through 48 h; pain; early recovery; rescue medication; complications; TEAS adverse effects,yes; rescue analgesia and anaesthetic drug use,unclear,yes,yes,yes,no,ChiCTR2200065802,"[""PDF p.3, Randomization/Intervention: 120 adults randomized 1:1:1; PC6/LI4 TEAS 2/100 Hz, 6-10 mA for 30 min before anaesthesia with additional immediate/2-h postoperative sessions in multi-period arm; no-current control."",""PDF pp.3-4, Anaesthesia: tracheal-intubated GA with mechanical ventilation, sevoflurane and propofol/remifentanil."",""PDF pp.4-7, Outcomes/Results: PONV, pain, recovery, rescue treatment, complications and adverse events; all 120 completed analysis.""]","Eligible randomized three-arm adult laparoscopic TEAS trial under intubated GA with separable active arms, no-current control and clinical PONV/pain/recovery outcomes.",yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:09:11+02:00,none,Multi-period versus single-period timing is independently extractable against Group C.
